institucionUltimoEstudio,equivalencia,cantidad,igual
,,191,TRUE
"""Instituto Sise""",Instituto Superior Sise,1,FALSE
* Instituto Superior Tecnologico Privado Cepea,"Instituto Superior Tecnologico ""Cepea""",1,FALSE
.,,3,FALSE
1To1,1To1,2,TRUE
3 Dev,3 Dev,2,TRUE
3Dev Business Consulting Sac(Scrum.Org),3Dev Business Consulting Sac(Scrum.Org),1,TRUE
6Sigma Study,6Sigma Study,4,TRUE
6Sigmastudy,6Sigma Study,2,FALSE
Abaccus,Abaccus,1,TRUE
Abaco,Instituto De Educacion Superior Abaco,3,FALSE
Ac Enginering/Electronets C.A,Ac Enginering/Electronets C.A,6,TRUE
Academia Internacional Swat,Academia Internacional Swat,1,TRUE
Academia Moviles,Academia Moviles,1,TRUE
Academia Project Now,Academia Project Now,1,TRUE
Academiamoviles,Academia Moviles,5,FALSE
Academias Moviles,Academia Moviles,3,FALSE
Academico Tecnicas- Cp,Academico Tecnicas- Cp,2,TRUE
Acamica,Acamica,1,TRUE
Acide (Asociacion Civil De Investigacion Para El Desarrollo Y La Empresa.,Acide (Asociacion Civil De Investigacion Para El Desarrollo Y La Empresa.,1,TRUE
Acpb Britanico,Asociacion Cultural Peruano Britanica,1,FALSE
Acronis Cyberfit Academy,Acronis Cyberfit Academy,2,TRUE
Acti Sac,Acti Sac,3,TRUE
Adex,Instituto Adex,3,FALSE
Adex Educacion Continua,Instituto Adex,1,FALSE
Adph,Adph Consultores,1,FALSE
Adph Consultores,Adph Consultores,1,TRUE
Aduanec,Aduanec,1,TRUE
Aenor,Aenor Peru,1,FALSE
Aenor Peru,Aenor Peru,1,TRUE
Agile Wise,Agile Wise Corp.,1,FALSE
Agile Wise Corp.,Agile Wise Corp.,1,TRUE
Ajys,Ajys,1,TRUE
Alejandro Internacional\Replica Vicente Rocafuerte,Alejandro Internacional\Replica Vicente Rocafuerte,1,TRUE
Alianza Francesa De Lima,Alianza Francesa De Lima,2,TRUE
Alicorp,Alicorp,1,TRUE
Alison,Alison,1,TRUE
Almirante Grau,Instituto Superior Tecnologico Almirante Miguel Grau,1,FALSE
Alura Latam,Alura Latam,1,TRUE
Amazon Web Service,Amazon Web Services,3,FALSE
Amazon Web Services,Amazon Web Services,1,TRUE
American Institute,American Institute,1,TRUE
