jobProfileName,equivalence,count,equals
Administrador De Soporte Tecnico,Administrador De Soporte Tecnico,116,TRUE
Analista De Base De Datos,Analista De Base De Datos,64,TRUE
Analista De Calidad,Analista De Calidad,177,TRUE
Analista De Calidad Qa,Analista De Calidad,10,FALSE
Analista De Calidad Senior,Analista De Calidad,60,FALSE
Analista De Calidad Sr. (Test Lead),Analista De Calidad,8,FALSE
Analista De Calidad.P,Analista De Calidad,17,FALSE
Analista De Calidad.V,Analista De Calidad,15,FALSE
Analista De Ciberseguridad,Analista De Ciberseguridad,25,TRUE
Analista De Procesos Sig,Analista De Procesos Sig,51,TRUE
Analista De Sistemas,Analista De Sistemas,98,TRUE
Analista De Sistemas Senior,Analista De Sistemas,27,FALSE
Analista De Sistemas Sr.,Analista De Sistemas,90,FALSE
Analista De Soluciones Ti,Analista De Soluciones Ti,58,TRUE
Analista Desarrollador Php,Analista Desarrollador Php,22,TRUE
Analista Funcional,Analista Funcional,599,TRUE
Analista Funcional Qa Bilingue,Analista Funcional,11,FALSE
Analista Funcional Senior,Analista Funcional,49,FALSE
Analista Funcional Ti - Sector Banca,Analista Funcional,69,FALSE
Analista Programador,Analista Programador,255,TRUE
Analista Programador - Mvc,Analista Programador - Mvc,14,TRUE
Analista Programador - Pwa,Analista Programador - Pwa,9,TRUE
Analista Programador - Xamarin,Analista Programador - Xamarin,30,TRUE
Analista Programador . Net,Analista Programador .Net,9,FALSE
Analista Programador . Net - Sharepoint,Analista Programador .Net,8,FALSE
Analista Programador .Net,Analista Programador .Net,127,TRUE
Analista Programador Android,Analista Programador Android,12,TRUE
Analista Programador Java,Analista Programador Java,3,TRUE
Analista Programador Java Jr,Analista Programador Java,4,FALSE
Analista Programador Net Core,Analista Programador .Net,16,FALSE
Analista Programador Oracle Forms,Analista Programador Oracle Forms,12,TRUE
Analista Programador Php,Analista Programador Php,19,TRUE
Analista Programador Senior/Full Stack,Analista Programador Senior/Full Stack,6,TRUE
Analista Programados Pwa,Analista Programador - Pwa,3,FALSE
Analista Qa,Analista De Calidad,68,FALSE
Arquitecto Aws,Arquitecto Aws,19,TRUE
Arquitecto De Desarrollo,Arquitecto De Desarrollo,11,TRUE
Arquitecto De Software,Arquitecto De Software,35,TRUE
Arquitecto De Soluciones,Arquitecto De Soluciones,11,TRUE
Arquitecto De Soluciones Cloud (Ms Azure),Arquitecto De Soluciones,11,FALSE
Arquitecto Preventa De Soluciones Cloud (Ms Azure),Arquitecto Preventa De Soluciones Cloud (Ms Azure),2,TRUE
Arquitecto Preventa De Soluciones Cloud (Ms Azurre),Arquitecto Preventa De Soluciones Cloud (Ms Azure),1,FALSE
Arquitecto(A) Analytics,Arquitecto(A) Analytics,4,TRUE
Asistente Comercial Jr,Asistente Comercial Jr,96,TRUE
Asistente De Pmo,Asistente De Pmo,243,TRUE
Asistente De Procesos,Asistente De Procesos,68,TRUE
Asistente De Recursos Humanos,Asistente De Recursos Humanos,354,TRUE
Asistente De Servicios Ti,Asistente De Servicios Ti,48,TRUE
Asistente De Servicios Ti Jr,Asistente De Servicios Ti,74,FALSE
Asistente Social,Asistente Social,315,TRUE
Automatizador De Procesos,Automatizador De Procesos,26,TRUE
Bootcamp G&S | Desarrollo E Innovacion,Bootcamp G&S | Desarrollo E Innovacion,82,TRUE
Bootcamp G&S | Infrastructure & Cloud,Bootcamp G&S | Infrastructure & Cloud,56,TRUE
Cloud Devops,Cloud Devops,20,TRUE
Cloud Devops - Azure,Cloud Devops,7,FALSE
Cloud Specialist,Cloud Specialist,135,TRUE
Cloud Specialist - Ms Azure,Cloud Specialist,73,FALSE
Cloud Specialist Jr. - Ms Azure,Cloud Specialist,27,FALSE
Cloud Specialist Semisenior - Ms Azure,Cloud Specialist,23,FALSE
Community Manger,Community Manger,187,TRUE
Consultor Cloud,Consultor Cloud,23,TRUE
Consultor Cloud Senior,Consultor Cloud,5,FALSE
Consultor Devops,Consultor Devops,17,TRUE
Consultor Preventa / Arquitecto Azure,Consultor Preventa / Arquitecto Azure,6,TRUE
Consultor Pre-Venta/Arquitecto Infra,Consultor Preventa / Arquitecto Azure,1,FALSE
Consultor(A) Infrastructure & Cloud Services,Consultor(A) Infrastructure & Cloud Services,14,TRUE
Data Analyst Senior,Data Analyst Senior,7,TRUE
Data Architect,Data Architect,50,TRUE
Data Engineer,Data Engineer,18,TRUE
Data Engineer Sr.,Data Engineer,20,FALSE
Desarrollador,Desarrollador,21,TRUE
Desarrollador . Net,Desarrollador .Net,28,FALSE
Desarrollador .Net,Desarrollador .Net,181,TRUE
Desarrollador .Net - Crm,Desarrollador .Net,15,FALSE
Desarrollador Big Data,Desarrollador Big Data,7,TRUE
Desarrollador De Software,Desarrollador De Software,30,TRUE
Desarrollador Full Stack,Desarrollador Full Stack,32,TRUE
Desarrollador Fullstack,Desarrollador Full Stack,11,FALSE
Desarrollador Fullstack Java,Desarrollador Full Stack,3,FALSE
Desarrollador Java,Desarrollador Java,80,TRUE
Desarrollador Php,Desarrollador Php,26,TRUE
Desarrollador Python (Temporal),Desarrollador Python (Temporal),8,TRUE
Desarrollador Sap,Desarrollador Sap,16,TRUE
Desarrollador Sharepoint,Desarrollador Sharepoint,7,TRUE
Desarrollador Xamarin,Desarrollador Xamarin,2,TRUE
Desarrollador. Net,Desarrollador .Net,34,FALSE
Desarrollador.Net,Desarrollador .Net,35,FALSE
Developer Java Agil,Desarrollador Java,2,FALSE
Disenador Electronico Jr.,Disenador Electronico Jr.,12,TRUE
Disenador Ux,Disenador Ux,61,TRUE
Disenador Ux/Ui,Disenador Ux,61,FALSE
Dynamics Gp - Business Central,Dynamics Gp - Business Central,4,TRUE
Ejecutivo Comercial,Ejecutivo Comercial,444,TRUE
Ejecutivo Comercial - Licitaciones,Ejecutivo Comercial,97,FALSE
Ejecutivo Comercial - Sector Ti,Ejecutivo Comercial,14,FALSE
Ejecutivo Comercial Jr,Ejecutivo Comercial,44,FALSE
