lastEducationArea,equivalence,count,equals
,,204,TRUE
Abogacia / Derecho / Leyes,Abogacia / Derecho / Leyes,50,TRUE
Actuaria,Actuaria,1,TRUE
Acuicultura,Acuicultura,2,TRUE
Adm. De Empresas,Adm. De Empresas,1134,TRUE
Adm. Y Gestion Publica,Adm. Y Gestion Publica,69,TRUE
Administracion Agropecuaria,Administracion Agropecuaria,1,TRUE
Agronegocios,Agronegocios,4,TRUE
Analisis De Sistemas,Analisis De Sistemas,138,TRUE
Antropologia,Antropologia,1,TRUE
Arquitectura,Arquitectura,19,TRUE
Asesoria En Comercio Exterior,Asesoria En Comercio Exterior,14,TRUE
Asistente De Trafico,Asistente De Trafico,1,TRUE
Bachiller,Bachiller,91,TRUE
Bellas Artes,Bellas Artes,2,TRUE
Biotecnologia,Biotecnologia,1,TRUE
Call Center,Call Center,1,TRUE
Capacitacion Comercio Exterior,Capacitacion Comercio Exterior,2,TRUE
Ciencias De La Educacion,Ciencias De La Educacion,16,TRUE
Ciencias Fisicas,Ciencias Fisicas,4,TRUE
Ciencias Politicas,Ciencias Politicas,5,TRUE
Comercio Int./Ext.,Comercio Int./Ext.,65,TRUE
Compras Internacionales/Importacion,Compras Internacionales/Importacion,4,TRUE
Computacion / Informatica,Computacion / Informatica,478,TRUE
Comunicacion Audiovisual,Comunicacion Audiovisual,35,TRUE
Comunicacion Social,Comunicacion Social,56,TRUE
Construccion / Obras Civiles,Construccion / Obras Civiles,4,TRUE
Contabilidad / Auditoria,Contabilidad / Auditoria,60,TRUE
Diseno De Imagen Y Sonido,Diseno De Imagen Y Sonido,7,TRUE
Diseno De Vestuario / Textil / Modas,Diseno De Vestuario / Textil / Modas,2,TRUE
Diseno Grafico,Diseno Grafico,67,TRUE
Diseno Industrial,Diseno Industrial,5,TRUE
Diseno Web,Diseno Web,27,TRUE
Economia,Economia,55,TRUE
Educacion,Educacion,32,TRUE
Electricidad,Electricidad,2,TRUE
Electronica,Electronica,25,TRUE
Enfermeria,Enfermeria,2,TRUE
Estadistica,Estadistica,43,TRUE
Farmacia,Farmacia,2,TRUE
Filosofia,Filosofia,5,TRUE
Finanzas,Finanzas,95,TRUE
Finanzas Internacionales,Finanzas Internacionales,5,TRUE
Fisioterapia,Fisioterapia,49,TRUE
Fotografia,Fotografia,3,TRUE
Gastronomia / Cocina,Gastronomia / Cocina,1,TRUE
Geografia,Geografia,2,TRUE
Geologia / Geomensura / Topografia,Geologia / Geomensura / Topografia,1,TRUE
Historia,Historia,2,TRUE
Hoteleria,Hoteleria,11,TRUE
Ing. - Otros,Ing. - Otros,191,TRUE
Ing. Aerospacial,Ing. Aerospacial,1,TRUE
Ing. Agronomo,Ing. Agronomo,2,TRUE
Ing. Alimentos,Ing. Alimentos,7,TRUE
Ing. Ambiental,Ing. Ambiental,3,TRUE
Ing. Comercial,Ing. Comercial,17,TRUE
Ing. Electrica,Ing. Electrica,5,TRUE
Ing. Electronica,Ing. Electronica,90,TRUE
Ing. En Minas,Ing. En Minas,2,TRUE
Ing. En Sistemas,Ing. En Sistemas,2308,TRUE
Ing. Industrial,Ing. Industrial,489,TRUE
Ing. Informatica,Ing. Informatica,616,TRUE
Ing. Mecanica/Metalurgica,Ing. Mecanica/Metalurgica,10,TRUE
Ing. Naval,Ing. Naval,5,TRUE
Ing. Obras Civiles/Construccion,Ing. Obras Civiles/Construccion,10,TRUE
Ing. Petroleo,Ing. Petroleo,2,TRUE
Ing. Quimica,Ing. Quimica,6,TRUE
Ing. Telecomunicaciones,Ing. Telecomunicaciones,130,TRUE
Ing. Transporte,Ing. Transporte,8,TRUE
Ingeniero En Construccion,Ingeniero En Construccion,6,TRUE
Interprete,Interprete,20,TRUE
Literatura,Literatura,2,TRUE
Marketing / Comercializacion,Marketing / Comercializacion,367,TRUE
Matematicas,Matematicas,2,TRUE
Mecanica / Metalurgica,Mecanica / Metalurgica,11,TRUE
Medicina,Medicina,3,TRUE
Medio Ambiente,Medio Ambiente,2,TRUE
Mercadotecnia Internacional,Mercadotecnia Internacional,3,TRUE
Mineria / Petroleo / Gas,Mineria / Petroleo / Gas,5,TRUE
Odontologia,Odontologia,1,TRUE
Organizacion Industrial,Organizacion Industrial,17,TRUE
Otra,Otra,341,TRUE
Periodismo,Periodismo,8,TRUE
Procesos / Calidad Total,Procesos / Calidad Total,104,TRUE
Programacion,Programacion,122,TRUE
Psicologia,Psicologia,347,TRUE
Psicopedagogia,Psicopedagogia,2,TRUE
Publicidad,Publicidad,44,TRUE
Quimica,Quimica,1,TRUE
Recursos Humanos / Relac. Ind.,Recursos Humanos / Relac. Ind.,354,TRUE
Relaciones Internac.,Relaciones Internac.,3,TRUE
Relaciones Publicas,Relaciones Publicas,12,TRUE
Salud,Salud,12,TRUE
Secretariado,Secretariado,1,TRUE
Seguridad Industrial,Seguridad Industrial,21,TRUE
Seguros,Seguros,4,TRUE
Sociologia,Sociologia,3,TRUE
Tecnico,Tecnico,47,TRUE
Tecnologia Medica / Laboratorio,Tecnologia Medica / Laboratorio,1,TRUE
Tecnologias De La Informacion,Tecnologias De La Informacion,1237,TRUE
Telecomunicaciones,Telecomunicaciones,118,TRUE
Trabajo Social,Trabajo Social,143,TRUE
Traduccion,Traduccion,19,TRUE
Transporte,Transporte,1,TRUE
Turismo,Turismo,18,TRUE
Ventas Internacionales/Exportacion,Ventas Internacionales/Exportacion,16,TRUE
