lastWorkArea,equivalence,count,equals
,,562,TRUE
Abastecimiento,Abastecimiento,17,TRUE
Administracion,Administracion,258,TRUE
Administracion De Base De Datos,Administracion De Base De Datos,82,TRUE
Administracion De Personal,Administracion De Personal,116,TRUE
Administracion De Seguros,Administracion De Seguros,6,TRUE
Almacen / Deposito / Expedicion,Almacen / Deposito / Expedicion,28,TRUE
Analisis De Datos,Analisis De Datos,237,TRUE
Analisis De Riesgos,Analisis De Riesgos,18,TRUE
Analisis Funcional,Analisis Funcional,221,TRUE
Arquitectura,Arquitectura,7,TRUE
Asistente,Asistente,9,TRUE
Atencion Al Cliente,Atencion Al Cliente,164,TRUE
Auditoria,Auditoria,16,TRUE
Auditoria De Seguros,Auditoria De Seguros,1,TRUE
Back Office,Back Office,4,TRUE
Bienestar Estudiantil,Bienestar Estudiantil,22,TRUE
Business Intelligence,Business Intelligence,19,TRUE
Caja,Caja,2,TRUE
Calidad,Calidad,20,TRUE
Call Center,Call Center,52,TRUE
Camareros,Camareros,2,TRUE
Capacitacion,Capacitacion,45,TRUE
Capacitacion Comercio Exterior,Capacitacion Comercio Exterior,1,TRUE
Comercial,Comercial,553,TRUE
Comercio Exterior,Comercio Exterior,12,TRUE
Community Management,Community Management,28,TRUE
Compensacion Y Planilla,Compensacion Y Planilla,43,TRUE
Compras,Compras,17,TRUE
Compras Internacionales/Importacion,Compras Internacionales/Importacion,7,TRUE
Comunicacion,Comunicacion,33,TRUE
Comunicaciones Externas,Comunicaciones Externas,8,TRUE
Comunicaciones Internas,Comunicaciones Internas,10,TRUE
Construccion,Construccion,15,TRUE
Consultoria,Consultoria,23,TRUE
Consultorias Comercio Exterior,Consultorias Comercio Exterior,4,TRUE
Contabilidad,Contabilidad,23,TRUE
Control De Gestion,Control De Gestion,26,TRUE
Corporate Finance / Banca Inversion,Corporate Finance / Banca Inversion,4,TRUE
Creatividad,Creatividad,12,TRUE
Creditos Y Cobranzas,Creditos Y Cobranzas,31,TRUE
Cuentas Corrientes,Cuentas Corrientes,1,TRUE
Data Entry,Data Entry,4,TRUE
Data Warehousing,Data Warehousing,78,TRUE
Desarrollo De Negocios,Desarrollo De Negocios,132,TRUE
Direccion,Direccion,35,TRUE
Direccion De Obra,Direccion De Obra,7,TRUE
Diseno,Diseno,12,TRUE
Diseno Grafico,Diseno Grafico,33,TRUE
Diseno Industrial,Diseno Industrial,4,TRUE
Diseno Multimedia,Diseno Multimedia,9,TRUE
Diseno Textil E Indumentaria,Diseno Textil E Indumentaria,1,TRUE
Diseno Web,Diseno Web,24,TRUE
Distribucion,Distribucion,7,TRUE
