lastWorkCompany,equivalence,count,equals
,,562,TRUE
-,,8,FALSE
!Oh My Kids!,!Oh My Kids!,2,TRUE
(Huawei),Huawei Del Peru,1,FALSE
* Asociacion Educativa Principe De Asturias,* Asociacion Educativa Principe De Asturias,1,TRUE
* Belmond (Perurail),* Belmond (Perurail),1,TRUE
* Grupo Onda Digital S.A.C,* Grupo Onda Digital S.A.C,1,TRUE
* Inversiones Y Negocios Colqui S.A.C,* Inversiones Y Negocios Colqui S.A.C,1,TRUE
1. Crac Raiz S.A.A.,1. Crac Raiz S.A.A.,1,TRUE
1. Panacea Consultores S.A.,1. Panacea Consultores S.A.,1,TRUE
10 Headhunters,10 Headhunters,1,TRUE
10103462946,10103462946,1,TRUE
10X Ventures,10X Ventures,1,TRUE
14 Grados Sur,14 Grados Sur,1,TRUE
2.1. Ministerio Del Trabajo,2.1. Ministerio Del Trabajo,1,TRUE
386 Systems / Hp Financial Services Peru,386 Systems / Hp Financial Services Peru,1,TRUE
4 Brains - Investigacion Y Desarrollo,4 Brains - Investigacion Y Desarrollo,1,TRUE
4 Torres Arquitectura Ingenieria Y Construccion S.A.C,4 Torres Arquitectura Ingenieria Y Construccion S.A.C,1,TRUE
4.0 Tecnologia En Innovacion,4.0 Tecnologia En Innovacion,1,TRUE
4Bitech,4Bitech,1,TRUE
4Masbusiness,4Masbusiness,3,TRUE
4Waystech,4Waystech,1,TRUE
4X Coffee Sac,4X Coffee Sac,1,TRUE
5G Telecom,5G Telecom,1,TRUE
A &Amp; T Pumps Technology Peru S.A.C,A &Amp; T Pumps Technology Peru S.A.C,1,TRUE
A Bite Of Cusco,A Bite Of Cusco,1,TRUE
A Y G Chavin De Huantar,A Y G Chavin De Huantar,2,TRUE
A&Amp;M Inversiones,A&Amp;M Inversiones,1,TRUE
A.Jaime Rojas,A.Jaime Rojas,1,TRUE
A1 Premium Eirl,A1 Premium Eirl,1,TRUE
A3 Consultores,A3 Consultores,1,TRUE
Ab Technology Sac,Ab Technology Sac,1,TRUE
Abbot Laboratorios S.A.,Abbott Epd,1,FALSE
Abbott,Abbott Epd,1,FALSE
Abbott Epd,Abbott Epd,1,TRUE
Abc Consultores,Abc Consultores,3,TRUE
Abc Interlab S.A.C.,Abc Interlab S.A.C.,2,TRUE
Abc Max Sa,Abc Max Sa,1,TRUE
Abc Movil Peru,Abc Movil Peru,1,TRUE
Abc Stretegic,Abc Stretegic,1,TRUE
Abexa Cloud,Abexa Cloud,1,TRUE
Abexacloud,Abexa Cloud,1,FALSE
Abril Grupo Inmobiliario,Abril Grupo Inmobiliario,2,TRUE
Abscisa Analytics,Abscisa Analytics,1,TRUE
Ac Proyetos,Ac Proyetos,1,TRUE
Acceauto S.A.C.,Acceauto S.A.C.,1,TRUE
Accenture,Accenture Peru,5,FALSE
Accenture Para El Bbva,Accenture Peru,1,FALSE
Accenture Peru,Accenture Peru,3,TRUE
Acces Chic,Acces Chic,1,TRUE
Acceso Crediticio,Acceso Crediticio S.A,1,FALSE
Acceso Crediticio S.A,Acceso Crediticio S.A,1,TRUE
Acceso Crediticio Sa,Acceso Crediticio S.A,1,FALSE
Accord Healthcare,Accord Healthcare,1,TRUE
Accuaproduct Sac,Accuaproduct Sac,1,TRUE
Accurate Media,Accurate Media,1,TRUE
Ace Partners,Ace Partners,2,TRUE
Acenespar Gc,Acenespar Gc,1,TRUE
Acepta Peru,Acepta Peru,6,TRUE
Aceros Arequipa,Aceros Arequipa,1,TRUE
Aceros Faem &Amp; Ingenieros Sac,Aceros Faem &Amp; Ingenieros Sac,1,TRUE
