lastWorkName,equivalence,count,equals
,,568,TRUE
(Voluntariado) Secretario De Capitulo Profesional,(Voluntariado) Secretario De Capitulo Profesional,1,TRUE
* Analista De Calidad De Software,* Analista De Calidad De Software,1,TRUE
* Practicante De Desarrollo De Software,* Practicante De Desarrollo De Software,1,TRUE
* Tecnico De Hardware Y Soporte Informatico,* Tecnico De Hardware Y Soporte Informatico,1,TRUE
.Net Dev,.Net Developer,1,FALSE
.Net Developer,.Net Developer,3,TRUE
.Net Developer Senior,.Net Developer,1,FALSE
Account Executive,Account Executive,1,TRUE
Account Executive Ecommerce,Account Executive Ecommerce,1,TRUE
Account Manager,Account Manager,16,TRUE
Account Manager - Nuevas Verticales,Account Manager,1,FALSE
Account Manager Latam,Account Manager,1,FALSE
Account Manager Offer,Account Manager,1,FALSE
Account Manager Service Provider,Account Manager,2,FALSE
Account Regional Mannager,Account Manager,1,FALSE
Actividades Como Independiente,Actividades Como Independiente,1,TRUE
Actualizador De Inventarios,Actualizador De Inventarios,1,TRUE
Adimistrador-Contable,Adimistrador-Contable,1,TRUE
Adjunta Asistente Administrativa,Adjunta Asistente Administrativa,1,TRUE
Adm,Adm,1,TRUE
Adm De Bd,Administrador De Base De Datos,1,FALSE
Adm Tecnologia La Informacion Y Comunicaciones,Administrador De Tecnologia,2,FALSE
Adm. De Servidores / Middleware / Infraestrcutura,Administrador De Servidores,1,FALSE
"Adm. De Servidores, Redes Y Comunicaciones",Administrador De Servidores,2,FALSE
Administracion,Administrador,1,FALSE
Administracion De Ciencias Aeronauticas,Administrador,1,FALSE
Administracion De Obras,Administrador,1,FALSE
Administracion Logistica,Administrador,1,FALSE
Administracion Proyectos Voz Y Datos,Administrador,1,FALSE
Administracion Y Operaciones,Administrador,1,FALSE
Administrador,Administrador,22,TRUE
Administrador - Gerente Comercial,Administrador,1,FALSE
Administrador Azure,Administrador Azure,3,TRUE
Administrador Comercial,Administrador Comercial,1,TRUE
Administrador Comercial Sap,Administrador Comercial Sap,1,TRUE
Administrador De Accesos,Administrador De Accesos,1,TRUE
Administrador De Base De Datos,Administrador De Base De Datos,12,TRUE
