nombreUltimoEstudio,equivalencia,cantidad,igual
,,132,TRUE
-,,16,FALSE
"""Sistemas Electricos De Potencia"",","""Sistemas Electricos De Potencia"",",1,TRUE
* Cloud Computing Con Microsoft Azure &Amp; Aws,* Cloud Computing Con Microsoft Azure &Amp; Aws,1,TRUE
* Diplomado De Marketing Digital,* Diplomado De Marketing Digital,2,TRUE
* Systems Engineering And Informatics.,* Systems Engineering And Informatics.,3,TRUE
.Net 4.5.1 Web C# Developer Visual Studio 2013,.Net 4.5.1 Web C# Developer Visual Studio 2013,1,TRUE
.Net 7 Full Stack Developer,.Net 7 Full Stack Developer,1,TRUE
.Net Developer,.Net Developer,1,TRUE
.Net Full Stack,.Net Full Stack,6,TRUE
/Ingenieria Industrial,/Ingenieria Industrial,1,TRUE
03 - Carrera De Ingenieria De Sistemas.,03 - Carrera De Ingenieria De Sistemas.,1,TRUE
2019 Secure Developer - Owasp Top 10,2019 Secure Developer - Owasp Top 10,2,TRUE
20486 Developing Asp.Net Mvc Web Applications,20486 Developing Asp.Net Mvc Web Applications,1,TRUE
4 Ciclo A La Fecha,4 Ciclo A La Fecha,1,TRUE
6232 Implementing A Microsoft Sql Server 2008,6232 Implementing A Microsoft Sql Server 2008,1,TRUE
Abap,Abap,1,TRUE
"Acd. De Mkt, Digital: Content Marketing","Acd. De Mkt, Digital: Content Marketing",1,TRUE
Acreditacion Aux. Despacho Aduanero Iat (Sunat),Acreditacion Aux. Despacho Aduanero Iat (Sunat),1,TRUE
Acreditacion Aws Tco And Cloud Economics,Acreditacion Aws Tco And Cloud Economics,1,TRUE
Actualizacion De Power Bi - Intermedio,Actualizacion De Power Bi - Intermedio,1,TRUE
Actualizacion En Ifrs,Actualizacion En Ifrs,1,TRUE
Actualizacion En Legislacion Laboral,Actualizacion En Legislacion Laboral,2,TRUE
Adm De Empresas,Adm De Empresas,1,TRUE
Adm De Negocios Con Especialidad De Marketing,Adm De Negocios Con Especialidad De Marketing,1,TRUE
Adm Estrategica De Negocios,Adm Estrategica De Negocios,1,TRUE
Adm Togad,Adm Togad,1,TRUE
Adm. De Empresas Y Negocios Internacionales,Adm. De Empresas Y Negocios Internacionales,1,TRUE
Adm. Negocios Internacionales,Adm. Negocios Internacionales,1,TRUE
Adminisracion Bancaria,Adminisracion Bancaria,1,TRUE
Administraacion,Administraacion,1,TRUE
Administraccion Industrial,Administraccion Industrial,1,TRUE
Administracion,Administracion,128,TRUE
Administracion - Recursos Humanos,Administracion - Recursos Humanos,1,TRUE
Administracion 8Vo Ciclo,Administracion 8Vo Ciclo,1,TRUE
Administracion Banca Y Finanzas,Administracion Banca Y Finanzas,2,TRUE
Administracion Bancaria,Administracion Bancaria,7,TRUE
Administracion Bancaria Y Financiera,Administracion Bancaria Y Financiera,1,TRUE
Administracion Bancaria Y Finanzas,Administracion Bancaria Y Finanzas,2,TRUE
Administracion Comercial,Administracion Comercial,1,TRUE
Administracion Con Mencion En Direccion,Administracion Con Mencion En Direccion,1,TRUE
Administracion Con Mencion En Direccion De Empresa,Administracion Con Mencion En Direccion De Empresa,4,TRUE
Administracion De Banca Y Finanzas,Administracion De Banca Y Finanzas,8,TRUE
Administracion De Base De Datos,Administracion De Base De Datos,1,TRUE
Administracion De Base De Datos En Oracle,Administracion De Base De Datos En Oracle,1,TRUE
Administracion De Base De Datos Oracle,Administracion De Base De Datos Oracle,2,TRUE
Administracion De Base De Datos Oracle 19C,Administracion De Base De Datos Oracle 19C,1,TRUE
Administracion De Bd En Oracle,Administracion De Bd En Oracle,1,TRUE
Administracion De Empreras,Administracion De Empresas,1,FALSE
Administracion De Empresa,Administracion De Empresas,3,FALSE
Administracion De Empresaa,Administracion De Empresas,1,FALSE
Administracion De Empresas,Administracion De Empresas,195,TRUE
Administracion De Empresas - Marketing,Administracion De Empresas,1,FALSE
Administracion De Empresas - Mrkt,Administracion De Empresas,1,FALSE
Administracion De Empresas - Tercio Superior,Administracion De Empresas,1,FALSE
Administracion De Empresas (2Da Carrera),Administracion De Empresas,1,FALSE
Administracion De Empresas 8 Ciclo,Administracion De Empresas,1,FALSE
Administracion De Empresas Con Mencion En Finanzas,Administracion De Empresas,1,FALSE
