careerDegree,newCareerDegree,count
Universitario,Universitario,4134
Otro,,2042
,,1769
Posgrado,Posgrado,1074
Terciario/Tecnico,Tecnico,791
Master,Maestria,538
Bachillerato,Bachiller,167
Ingenieria,Egresado,144
Grado En Ingenieria,Egresado,67
Bachelor'S Degree,Bachiller,66
Estudiante,Universitario,57
Bachiller,Bachiller,51
Ingeniero De Sistemas,Egresado,46
Ingenieria De Sistemas,Egresado,43
Egresado,Egresado,35
Maestria,Maestria,32
Master Of Business Administration - Mba,Maestria,29
Titulado,Titulado,24
Licenciatura,Licenciado,23
Diplomatura,Diplomado,18
Engineer'S Degree,Egresado,18
Master'S Degree,Maestria,18
Tecnicatura,Tecnico,17
Ingeniero,Egresado,15
Doctorado,Doctorado,13
Computacion E Informatica,Tecnico,12
Grado En Administracion Y Direccion De Empresas,Egresado,11
Ingenieria Empresarial Y De Sistemas,Egresado,11
Tecnico,Tecnico,11
Scrum Master,Certificacion,10
Certificate Of Completion,Certificacion,9
Ingeniero Industrial,Egresado,9
Master Of Business Administration (Mba),Maestria,9
Pilares Del Marketing Digital,Tecnico,9
Analista De Sistemas,Tecnico,8
Diplomado Internacional En Gerencia De Proyectos,Diplomado,8
Ingenieria De Software,Egresado,8
Tecnico En Computacion E Informatica,Tecnico,8
Bachelor Of Engineering - Be,Bachiller,7
Bachiller Universitario De La Carrera De Ingenieria De Sistemas E Informatica,Bachiller,7
Ingeniero Informatico,Egresado,7
Magister,Maestria,7
Administracion Y Sistemas,Tecnico,6
Egresada,Egresado,6
Formacion Profesional De Grado Superior,Tecnico,6
Ing. Sistemas Y Computacion,Egresado,6
Ingenieria De Sistemas (Titulado),Egresado,6
Ingeniero Electronico,Egresado,6
Master Of Engineering (M.Eng.),Maestria,6
Secundario,Secundario,6
Bachiller En Ingenieria De Sistemas,Bachiller,5
Ingenieria De Sistemas E Informatica,Egresado,5
Master In Business Administration,Maestria,5
Redes Y Comunicaciones De Datos,Tecnico,5
Diplomado En Gestion De Proyectos,Diplomado,4
Diplomado En Gestion De Proyectos De Ti,Diplomado,4
Ingeniera De Sistemas,Egresado,4
Ingenieria Industrial,Egresado,4
Ingenierio Electronico,Egresado,4
Ingeniero De Computacion Y Sistemas,Egresado,4
Ingeniero De Sistemas E Informatica,Egresado,4
Master En Sql Server: Desde Cero A Nivel Profesional 2021,Maestria,4
Metodologias Agiles,Tecnico,4
Student,Universitario,4
Administracion De Redes Y Comunicaciones,Tecnico,3
Administracion De Sistemas,Tecnico,3
Aws Certified: Cloud Practitioner Certificate/ Solutions Architect - Associate,Certificacion,3
Bachiller En Ingenieria De Sistemas E Informatica,Bachiller,3
Candidato A Magister,Maestria,3
Desarrollo De Software,Tecnico,3
Diplomado,Diplomado,3
Diplomado En Business Intelligence (Upc),Diplomado,3
Diplomado En Marketing Digital.,Diplomado,3
Diplomado En Transformacion Digital,Diplomado,3
Diplomado Internacional En Gestion De Proyectos Pmi,Diplomado,3
Diseno Ux/Ui,Tecnico,3
Especializacion En Business Intelligence,Especializacion,3
Estudiante De Ingenieria Industrial,Universitario,3
Experto En Excel,Tecnico,3
Fundamentos De Innovacion Y Transformacion Agil Del Negocio,Tecnico,3
Grado En Ingenieria De Sistemas,Egresado,3
Ingenieria De Telecomunicaciones,Egresado,3
Ingenieria Electronica,Egresado,3
Ingenieria Electronica Y Telecomunicaciones,Egresado,3
Ingeniero De Sistemas Empresariales,Egresado,3
Ingeniero De Softare,Egresado,3
Ingeniero En Informatica Y Sistemas,Egresado,3
