careerField,isEngineering,isInformatics,newCareerField,count
Ing. En Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1959
,,,,1910
Tecnologias De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,1152
Adm. De Empresas,No,No,No ingenieria no relacionada directamente a informatica,952
Ing. Informatica,Si,Si,Ingenieria relacionada directamente a informatica,542
Ing. Industrial,Si,No,Ingenieria no relacionada directamente a informatica,416
Computacion / Informatica,No,Si,No ingenieria relacionada directamente a informatica,400
Ingenieria De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,363
Marketing / Comercializacion,No,No,No ingenieria no relacionada directamente a informatica,316
Otra,No,No,No ingenieria no relacionada directamente a informatica,305
Recursos Humanos / Relac. Ind.,No,No,No ingenieria no relacionada directamente a informatica,304
Psicologia,No,No,No ingenieria no relacionada directamente a informatica,243
Ing. - Otros,Si,No,Ingenieria no relacionada directamente a informatica,162
Trabajo Social,No,No,No ingenieria no relacionada directamente a informatica,150
Analisis De Sistemas,No,Si,No ingenieria relacionada directamente a informatica,114
Ing. Telecomunicaciones,Si,No,Ingenieria no relacionada directamente a informatica,110
Telecomunicaciones,No,No,No ingenieria no relacionada directamente a informatica,107
Programacion,No,Si,No ingenieria relacionada directamente a informatica,101
Finanzas,No,No,No ingenieria no relacionada directamente a informatica,93
Ingenieria Informatica,Si,Si,Ingenieria relacionada directamente a informatica,83
Procesos / Calidad Total,No,No,No ingenieria no relacionada directamente a informatica,83
Ing. Electronica,Si,No,Ingenieria no relacionada directamente a informatica,76
Bachiller,No,No,No ingenieria no relacionada directamente a informatica,75
Adm. Y Gestion Publica,No,No,No ingenieria no relacionada directamente a informatica,61
Diseno Grafico,No,No,No ingenieria no relacionada directamente a informatica,59
Comercio Int./Ext.,No,No,No ingenieria no relacionada directamente a informatica,57
Economia,No,No,No ingenieria no relacionada directamente a informatica,55
Ingenieria De Software,Si,Si,Ingenieria relacionada directamente a informatica,54
Ingenieria Industrial,Si,No,Ingenieria no relacionada directamente a informatica,52
Tecnologia De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,49
Fisioterapia,No,No,No ingenieria no relacionada directamente a informatica,48
Contabilidad / Auditoria,No,No,No ingenieria no relacionada directamente a informatica,46
Comunicacion Social,No,No,No ingenieria no relacionada directamente a informatica,45
Tecnico,No,No,No ingenieria no relacionada directamente a informatica,43
Abogacia / Derecho / Leyes,No,No,No ingenieria no relacionada directamente a informatica,40
Estadistica,No,Si,No ingenieria relacionada directamente a informatica,40
Gestion De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,39
Publicidad,No,No,No ingenieria no relacionada directamente a informatica,37
Computacion E Informatica,No,Si,No ingenieria relacionada directamente a informatica,33
Desarrollo De Aplicaciones Web,No,Si,No ingenieria relacionada directamente a informatica,30
Administracion Y Gestion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,29
Comunicacion Audiovisual,No,No,No ingenieria no relacionada directamente a informatica,28
Educacion,No,No,No ingenieria no relacionada directamente a informatica,27
Ingenieria De Sistemas E Informatica,Si,Si,Ingenieria relacionada directamente a informatica,27
Ingenieria Mecatronica,Si,No,Ingenieria no relacionada directamente a informatica,22
Diseno Web,No,Si,No ingenieria relacionada directamente a informatica,21
Arquitectura,No,No,No ingenieria no relacionada directamente a informatica,19
Tecnologia Informatica/Tecnologia De Sistemas Informaticos,No,Si,No ingenieria relacionada directamente a informatica,19
Ingenieria,Si,No,Ingenieria no relacionada directamente a informatica,18
Programacion Informatica,No,Si,No ingenieria relacionada directamente a informatica,18
Seguridad Industrial,No,No,No ingenieria no relacionada directamente a informatica,18
"Administracion Y Gestion De Empresas, General",No,No,No ingenieria no relacionada directamente a informatica,17
Electronica,No,No,No ingenieria no relacionada directamente a informatica,16
Ingenieria Electronica,Si,No,Ingenieria no relacionada directamente a informatica,16
Traduccion,No,No,No ingenieria no relacionada directamente a informatica,16
Ciencias De La Educacion,No,No,No ingenieria no relacionada directamente a informatica,15
Ing. Comercial,Si,No,Ingenieria no relacionada directamente a informatica,15
Informatica,No,Si,No ingenieria relacionada directamente a informatica,14
Ingenieria De Sistemas De Informacion,Si,Si,Ingenieria relacionada directamente a informatica,14
Ingenieria De Telecomunicaciones,Si,No,Ingenieria no relacionada directamente a informatica,14
Interprete,No,No,No ingenieria no relacionada directamente a informatica,14
Ventas Internacionales/Exportacion,No,No,No ingenieria no relacionada directamente a informatica,14
Administracion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,13
Information Technology,No,Si,No ingenieria relacionada directamente a informatica,13
Organizacion Industrial,No,No,No ingenieria no relacionada directamente a informatica,13
"Ingenieria Electronica, Robotica Y Mecatronica",Si,No,Ingenieria no relacionada directamente a informatica,12
Marketing,No,No,No ingenieria no relacionada directamente a informatica,12
Relaciones Publicas,No,No,No ingenieria no relacionada directamente a informatica,12
Turismo,No,No,No ingenieria no relacionada directamente a informatica,12
"Administracion/Administrador De Sistemas, Redes Y Comunicaciones Lan/Wan",No,Si,No ingenieria relacionada directamente a informatica,11
Asesoria En Comercio Exterior,No,No,No ingenieria no relacionada directamente a informatica,11
Ingenieria Electrica Y Electronica,Si,No,Ingenieria no relacionada directamente a informatica,11
Systems Engineering,Si,Si,Ingenieria relacionada directamente a informatica,11
Ingenieria De Sistemas Computacionales,Si,Si,Ingenieria relacionada directamente a informatica,10
Ingenieria Empresarial,Si,No,Ingenieria no relacionada directamente a informatica,10
Mecanica / Metalurgica,No,No,No ingenieria no relacionada directamente a informatica,10
Sistemas,No,Si,No ingenieria relacionada directamente a informatica,10
Administracion De Negocios,No,No,No ingenieria no relacionada directamente a informatica,9
Analisis De Sistemas Informaticos/Analista,No,Si,No ingenieria relacionada directamente a informatica,9
Aws Cloud Solutions Architect,No,Si,No ingenieria relacionada directamente a informatica,9
Ciencias De La Computacion,No,Si,No ingenieria relacionada directamente a informatica,9
Hoteleria,No,No,No ingenieria no relacionada directamente a informatica,9
Ing. Mecanica/Metalurgica,Si,No,Ingenieria no relacionada directamente a informatica,9
Ingenieria De Computacion Y Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,8
Salud,No,No,No ingenieria no relacionada directamente a informatica,8
Sistemas E Informatica,No,Si,No ingenieria relacionada directamente a informatica,8
Computer Science,No,Si,No ingenieria relacionada directamente a informatica,7
Finanzas Internacionales,No,No,No ingenieria no relacionada directamente a informatica,7
Ingenieria Electrica,Si,No,Ingenieria no relacionada directamente a informatica,7
Ingenieria Empresarial Y De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,7
Ingeniero De Sistemas Especialidad Proyectos,Si,Si,Ingenieria relacionada directamente a informatica,7
Project Management,No,No,No ingenieria no relacionada directamente a informatica,7
Sociologia,No,No,No ingenieria no relacionada directamente a informatica,7
Business,No,No,No ingenieria no relacionada directamente a informatica,6
Computer Software Engineering,No,Si,No ingenieria relacionada directamente a informatica,6
"Gestion De Recursos Humanos/Administracion De Personal, General",No,No,No ingenieria no relacionada directamente a informatica,6
Ing. Alimentos,Si,No,Ingenieria no relacionada directamente a informatica,6
Ing. Obras Civiles/Construccion,Si,No,Ingenieria no relacionada directamente a informatica,6
Maestria En Educacion Con Mencion En Informatica Y Tecnologia Educativa,No,Si,No ingenieria relacionada directamente a informatica,6
Modelado Y Almacenamiento De Datos/Administracion De Bases De Datos,No,Si,No ingenieria relacionada directamente a informatica,6
Telecommunications Engineering,Si,No,Ingenieria no relacionada directamente a informatica,6
Ciencias Fisicas,No,No,No ingenieria no relacionada directamente a informatica,5
