lastWorkCenter,relatedToSoftwareDev,count
Canvia,Si,86
Freelance (Clientes),Si,78
Independiente,Si,42
Global Hitss,Si,40
Everis,Si,39
Indra,Si,38
Mdp Consulting,Si,37
Everis Peru Sac,Si,29
Tata Consultancy Services,Si,23
Pontificia Universidad Catolica Del Peru,No,21
Tivit,Si,21
Experis,Si,20
Autoridad Nacional Del Agua,No,18
Banco De Credito Del Peru,No,18
Softtek,Si,17
Freelance,Si,16
Interbank,No,16
Alicorp,No,15
Everis Peru,Si,15
Mdp,Si,15
Stefanini It Solutions,Si,15
Telefonica Del Peru,No,15
Universidad Privada Del Norte,No,15
Banco Ripley,No,14
Farmacias Peruanas,No,14
Mibanco,No,14
Onpe,No,14
Tgestiona,No,14
Tismart,Si,14
Banco Falabella,No,13
Itg Solutions,Si,13
Rimac Seguros,No,13
Scotiabank,No,13
Sunat,No,13
Fractalia,Si,12
Indra Peru,Si,12
La Positiva,No,12
Optical Networks,No,12
Bcp,No,11
Evol,Si,11
Ferreyros,No,11
Limcompany,Si,11
Sapia,No,11
Telefonica,No,11
Universidad Peruana De Ciencias Aplicadas,No,11
Yanbal,No,11
Auna,No,10
Faber Castell,No,10
Ibm,Si,10
Mdp Consulting S.A.C,Si,10
Minera Aurifera Retamas(Marsa),No,10
Programador Web Freelance,Si,10
Software Enterprise Services,Si,10
Stefanini Group,Si,10
Zoluxiones,Si,10
Atento,No,9
Atomikal,No,9
Compartamos Financiera,No,9
Experis (Asignado A Cliente Movistar),No,9
Indra Company,Si,9
Ntt Data,Si,9
Rmg,Si,9
Universidad Privada Norbert Wiener,No,9
Clinica San Pablo S.A.C.,No,8
Cryptocash,No,8
Csti,Si,8
Ferreyros Sa,No,8
Gate Gourmet,No,8
Gmd,No,8
Hundred,No,8
Inetum,Si,8
Manpower,No,8
Real Plaza,No,8
Rimac Seguros Y Reaseguros,No,8
Telefonica Ingenieria De Seguridad,No,8
Tottus,No,8
Universidad Alas Peruanas,No,8
Universidad Continental,No,8
Zegel Ipae,No,8
