lastWorkPosition,equivalence,count,equals
(Voluntariado) Secretario De Capitulo Profesional,(Voluntariado) Secretario De Capitulo Profesional,1,TRUE
* Analista De Calidad De Software,* Analista De Calidad De Software,1,TRUE
* Practicante De Desarrollo De Software,* Practicante De Desarrollo De Software,1,TRUE
* Tecnico De Hardware Y Soporte Informatico,* Tecnico De Hardware Y Soporte Informatico,1,TRUE
.Net Dev,.Net Developer,1,FALSE
.Net Developer,.Net Developer,1,TRUE
.Net Developer Senior,.Net Developer,1,FALSE
Account Manager,Account Manager,14,TRUE
Account Manager - Nuevas Verticales,Account Manager,1,FALSE
Account Manager Latam,Account Manager,1,FALSE
Account Regional Mannager,Account Manager,1,FALSE
Actividades Como Independiente,Actividades Como Independiente,1,TRUE
Actualizador De Inventarios,Actualizador De Inventarios,1,TRUE
Adimistrador-Contable,Adimistrador-Contable,1,TRUE
Adjunta Asistente Administrativa,Adjunta Asistente Administrativa,1,TRUE
Adm De Bd,Administrador De Base De Datos,1,FALSE
Adm Tecnologia La Informacion Y Comunicaciones,Administrador De Tecnologia,2,FALSE
Adm. De Servidores / Middleware / Infraestrcutura,Administrador De Servidores,1,FALSE
"Adm. De Servidores, Redes Y Comunicaciones",Administrador De Servidores,2,FALSE
Administracion,Administrador,1,FALSE
Administracion Proyectos Voz Y Datos,Administracion Proyectos Voz Y Datos,1,TRUE
Administracion Y Operaciones,Administracion Y Operaciones,1,TRUE
Administrador,Administrador,14,TRUE
Administrador - Gerente Comercial,Administrador - Gerente Comercial,1,TRUE
Administrador Comercial,Administrador Comercial,1,TRUE
Administrador De Base De Datos,Administrador De Base De Datos,11,TRUE
Administrador De Base De Datos (Dba),Administrador De Base De Datos,2,FALSE
Administrador De Base De Datos Oracle,Administrador De Base De Datos,1,FALSE
Administrador De Bases De Datos,Administrador De Base De Datos,1,FALSE
Administrador De Infraestructura,Administrador De Infraestructura,1,TRUE
Administrador De Infraestructura Ti,Administrador De Infraestructura,4,FALSE
Administrador De Infraestructura Y Sistemas,Administrador De Infraestructura,3,FALSE
Administrador De Personal (Rrhh),Administrador De Personal (Rrhh),1,TRUE
Administrador De Plataforma,Administrador De Plataforma,1,TRUE
Administrador De Plataformas De Aprendizaje,Administrador De Plataformas De Aprendizaje,1,TRUE
Administrador De Recursos Humanos,Administrador De Recursos Humanos,2,TRUE
Administrador De Red,Administrador De Redes,2,FALSE
Administrador De Redes,Administrador De Redes,3,TRUE
Administrador De Redes E Infraestructura,Administrador De Redes,1,FALSE
Administrador De Redes Y Comunicaciones,Administrador De Redes,1,FALSE
Administrador De Redes Y Sistemas,Administrador De Redes,1,FALSE
Administrador De Redes Y Telecomunicaciones,Administrador De Redes,1,FALSE
Administrador De Servicios Ti,Administrador De Servicios Ti,2,TRUE
Administrador De Servidores,Administrador De Servidores,1,TRUE
Administrador De Servidores Series X (Windows),Administrador De Servidores,1,FALSE
Administrador De Servidores Virtuales Vmware,Administrador De Servidores,1,FALSE
Administrador De Servidores Y Comunicaciones,Administrador De Servidores,1,FALSE
Administrador De Sistemas,Administrador De Sistemas,9,TRUE
Administrador De Sistemas Integrados,Administrador De Sistemas,3,FALSE
Administrador De Sistemas Senior,Administrador De Sistemas,1,FALSE
Administrador De Soporte Y Activos Ti,Administrador De Sistemas,1,FALSE
Administrador De Tecnologia,Administrador De Tecnologia,1,TRUE
Administrador De Tecnologia De Informacion,Administrador De Tecnologia,1,FALSE
Administrador De Ti,Administrador De Tecnologia,5,FALSE
Administrador De Ti - Cloud,Administrador De Tecnologia,1,FALSE
