lastWorkCenter,equivalence,count,equals
!Oh My Kids!,!Oh My Kids!,2,TRUE
(Huawei),(Huawei),1,TRUE
* Grupo Onda Digital S.A.C,* Grupo Onda Digital S.A.C,1,TRUE
1. Crac Raiz S.A.A.,1. Crac Raiz S.A.A.,1,TRUE
1. Panacea Consultores S.A.,1. Panacea Consultores S.A.,1,TRUE
10103462946,10103462946,1,TRUE
10X Ventures,10X Ventures,1,TRUE
14 Grados Sur,14 Grados Sur,1,TRUE
2.1. Ministerio Del Trabajo,2.1. Ministerio Del Trabajo,1,TRUE
386 Systems / Hp Financial Services Peru,386 Systems / Hp Financial Services Peru,1,TRUE
4.0 Tecnologia En Innovacion,4.0 Tecnologia En Innovacion,1,TRUE
4Bitech,4Bitech,1,TRUE
4X Coffee Sac,4X Coffee Sac,1,TRUE
A &Amp; T Pumps Technology Peru S.A.C,A &Amp; T Pumps Technology Peru S.A.C,1,TRUE
A Bite Of Cusco,A Bite Of Cusco,1,TRUE
A Y G Chavin De Huantar,A Y G Chavin De Huantar,2,TRUE
Ab Technology Sac,Ab Technology Sac,1,TRUE
Abbot Laboratorios S.A.,Abbot Laboratorios S.A.,1,TRUE
Abc Consultores,Abc Consultores,1,TRUE
Abc Movil Peru,Abc Movil Peru,1,TRUE
Abexacloud,Abexacloud,1,TRUE
Abril Grupo Inmobiliario,Abril Grupo Inmobiliario,2,TRUE
Abscisa Analytics,Abscisa Analytics,1,TRUE
Ac Proyetos,Ac Proyetos,1,TRUE
Accede Justicia,Accede Justicia,1,TRUE
Accenture,Accenture Peru,5,FALSE
Accenture Peru,Accenture Peru,3,TRUE
Acces Chic,Acces Chic,1,TRUE
Acceso Crediticio S.A,Acceso Crediticio S.A,1,TRUE
Acceso Crediticio Sa,Acceso Crediticio S.A,1,FALSE
Accuaproduct Sac,Accuaproduct Sac,1,TRUE
Acepta Peru,Acepta Peru,5,TRUE
Aceros Faem &Amp; Ingenieros Sac,Aceros Faem &Amp; Ingenieros Sac,1,TRUE
Acis Process,Acis Process,1,TRUE
Acomemo,Acomemo,2,TRUE
Activiza,Activiza,1,TRUE
Activos Mineros,Activos Mineros,1,TRUE
Acurio Restaurantes,Acurio Restaurantes,1,TRUE
Ad Y L Consuling,Ad Y L Consuling,1,TRUE
Adaia Corporation Sac,Adaia Corporation Sac,1,TRUE
Adecco,Adecco Consulting S.A.,2,FALSE
Adecco Consulting,Adecco Consulting S.A.,1,FALSE
Adecco Consulting S.A.,Adecco Consulting S.A.,1,TRUE
Adecco Peru,Adecco Consulting S.A.,3,FALSE
Adecco Peru Sac-Proyecto Metro 2 Lima,Adecco Consulting S.A.,1,FALSE
Adesy.Net,Adesy.Net,1,TRUE
Adexus,Adexus Peru S.A.,1,FALSE
Adexus Peru S.A.,Adexus Peru S.A.,2,TRUE
Adexus Peru Sa,Adexus Peru S.A.,1,FALSE
Adhoc Digital,Adhoc Digital,1,TRUE
Admivent Assist Peru,Admivent Assist Peru,1,TRUE
"Admosfera, Agencia De Marketing Sensorial S.A.C","Admosfera, Agencia De Marketing Sensorial S.A.C",1,TRUE
Adn Telecom Sac,Adn Telecom Sac,1,TRUE
Adobe Stock,Adobe Stock,1,TRUE
Aegis,Aegis,4,TRUE
Aenor,Aenor,1,TRUE
Aero Transporte S.A.,Aero Transporte S.A.,1,TRUE
Aerolineas Star Peru,Aerolineas Star Peru,1,TRUE
Aeropuertos Del Peru S.A,Aeropuertos Del Peru S.A,1,TRUE
Afe Service Sac,Afe Service Sac,1,TRUE
Ag. Construccion E Ingenierias,Ag. Construccion E Ingenierias,1,TRUE
Agencia Digital Sinapsis,Agencia Digital Sinapsis,2,TRUE
Agencia Lima Digital,Agencia Lima Digital,1,TRUE
Agia Tech,Agia Tech,1,TRUE
Agm Ingenieros S.R.L.,Agm Ingenieros S.R.L.,1,TRUE
Agn Ingenieros,Agn Ingenieros,1,TRUE
Agp Group,Agp Group,1,TRUE
Agricola Las Llamozas Grupo Fe,Agricola Las Llamozas Grupo Fe,1,TRUE
Agro Ism Sac (Grupo Ananos),Agro Ism Sac (Grupo Ananos),1,TRUE
Agroindustrial Paramonga S.A.A.,Agroindustrial Paramonga S.A.A.,1,TRUE
Agroindutrias Aib,Agroindutrias Aib,1,TRUE
Agronegocios Arq,Agronegocios Arq,1,TRUE
Agrovet Market,Agrovet Market,1,TRUE
Agrovision,Agrovision,1,TRUE
Agua Niagara,Agua Niagara,1,TRUE
Ai Generation Xu,Ai Generation Xu,1,TRUE
Ai Inversiones Palo Alto Ii S.A.C.,Ai Inversiones Palo Alto Ii S.A.C.,1,TRUE
Ai Inversiones Palo Alto Ii S.A.C. (Canvia),Ai Inversiones Palo Alto Ii S.A.C.,1,FALSE
Ai Inversiones Palo Alto Ii Sac (Canvia),Ai Inversiones Palo Alto Ii S.A.C.,1,FALSE
Ai Inversiones Palo Santo,Ai Inversiones Palo Santo,2,TRUE
Aiesec,Aiesec Peru,1,FALSE
Aiesec Peru,Aiesec Peru,1,TRUE
Aimtalent,Aimtalent,1,TRUE
Airongroup S.A.C (Telefonica Del Peru),Airongroup S.A.C (Telefonica Del Peru),1,TRUE
Aje,Aje,2,TRUE
Ajemaya Sa - Ajegroup,Ajemaya Sa - Ajegroup,1,TRUE
Ajeper,Ajeper S.A,1,FALSE
Ajeper S.A,Ajeper S.A,1,TRUE
Ak Drilling International S.A,Ak Drilling International S.A,1,TRUE
Al Inversiones Palo Alto Ll,Al Inversiones Palo Alto Ll,4,TRUE
Albatross,Albatross,1,TRUE
Alestec,Alestec,1,TRUE
Alfatec,Alfatec,1,TRUE
Alfin Banco,Alfin Banco,1,TRUE
Alicorp,Alicorp S.A,15,FALSE
Alicorp S.A,Alicorp S.A,1,TRUE
Alicorp S.A.,Alicorp S.A,2,FALSE
Alicorp S.A.A,Alicorp S.A,1,FALSE
Alicorp S.A.A.,Alicorp S.A,1,FALSE
Alicorp Saa,Alicorp S.A,2,FALSE
Alignet,Alignet,1,TRUE
Alimencorp Sac,Alimencorp Sac,1,TRUE
Alimentos Los Panas S.A.C,Alimentos Los Panas S.A.C,1,TRUE
Alinhtech,Alinhtech,1,TRUE
Alkofarma,Alkofarma,1,TRUE
Alliance Abroad Group - Kalahari Resorts,Alliance Abroad Group - Kalahari Resorts,1,TRUE
Allinbus,Allinbus,1,TRUE
Alltelecom,Alltelecom,1,TRUE
