profileName,equivalence,count
Administrador De Soporte Tecnico,Administrador De Soporte Tecnico,68
Analista De Base De Datos,Analista De Base De Datos,44
Analista De Calidad,Analista De Calidad,124
Analista De Calidad Senior,Analista De Calidad Senior,41
Analista De Calidad Sr. (Test Lead),Analista De Calidad Senior,5
Analista De Calidad.P,Analista De Calidad,10
Analista De Calidad.V,Analista De Calidad,9
Analista De Ciberseguridad,Analista De Ciberseguridad,23
Analista De Procesos Sig,Analista De Procesos Sig,40
Analista De Sistemas,Analista De Sistemas,72
Analista De Sistemas Senior,Analista De Sistemas Senior,18
Analista De Sistemas Sr.,Analista De Sistemas Senior,59
Analista De Soluciones Ti,Analista De Soluciones Ti,44
Analista Desarrollador Php,Analista Desarrollador Php,14
Analista Funcional,Analista Funcional,135
Analista Funcional Qa Bilingue,Analista Funcional,7
Analista Funcional Senior,Analista Funcional Senior,29
Analista Programador,Analista Programador,157
Analista Programador - Mvc,Analista Programador - Mvc,6
Analista Programador - Pwa,Analista Programador - Pwa,6
Analista Programador - Xamarin,Analista Programador - Xamarin,10
Analista Programador . Net,Analista Programador .Net,7
Analista Programador . Net - Sharepoint,Analista Programador .Net,6
Analista Programador .Net,Analista Programador .Net,74
Analista Programador Android,Analista Programador Android,7
Analista Programador Java,Analista Programador Java,3
Analista Programador Java Jr,Analista Programador Java,3
Analista Programador Net Core,Analista Programador .Net,11
Analista Programador Oracle Forms,Analista Programador Oracle Forms,8
Analista Programador Php,Analista Programador Php,14
Analista Programador Senior/Full Stack,Analista Programador Senior/Full Stack,3
Analista Programados Pwa,Analista Programador - Pwa,3
Analista Qa,Analista De Calidad,47
Arquitecto Aws,Arquitecto Aws,11
Arquitecto De Desarrollo,Arquitecto De Desarrollo,9
Arquitecto De Software,Arquitecto De Software,28
Arquitecto De Soluciones,Arquitecto De Soluciones,9
Arquitecto De Soluciones Cloud (Ms Azure),Arquitecto De Soluciones,11
Arquitecto Preventa De Soluciones Cloud (Ms Azure),Arquitecto Preventa De Soluciones Cloud (Ms Azure),2
Arquitecto Preventa De Soluciones Cloud (Ms Azurre),Arquitecto Preventa De Soluciones Cloud (Ms Azure),1
Arquitecto(A) Analytics,Arquitecto(A) Analytics,2
Asistente Comercial Jr,Asistente Comercial Jr,59
Asistente De Pmo,Asistente De Pmo,113
Asistente De Procesos,Asistente De Procesos,55
Asistente De Recursos Humanos,Asistente De Recursos Humanos,228
Asistente De Servicios Ti,Asistente De Servicios Ti,37
Asistente De Servicios Ti Jr,Asistente De Servicios Ti,53
Asistente Social,Asistente Social,132
Automatizador De Procesos,Automatizador De Procesos,22
Bootcamp G&S | Desarrollo E Innovacion,Bootcamp G&S | Desarrollo E Innovacion,27
Bootcamp G&S | Infrastructure & Cloud,Bootcamp G&S | Infrastructure & Cloud,30
Cloud Devops,Cloud Devops,11
Cloud Devops - Azure,Cloud Devops,4
