residenceCountry,newResidenceCountry,count
Peru,Peru,11581
Venezuela,Venezuela,142
Area Metropolitana De Lima,Peru,126
,,90
"Lima, Lima, Peru",Peru,64
"Lima, Peru",Peru,27
"Trujillo, Departamento De La Libertad, Peru",Peru,24
"Cajamarca, Peru",Peru,21
Argentina,Argentina,12
"Santiago De Surco, Lima, Peru",Peru,10
Colombia,Colombia,7
"Provincia De Lima, Lima, Peru",Peru,6
"San Miguel, Lima, Peru",Peru,6
"San Borja, Lima, Peru",Peru,5
"San Juan De Miraflores, Lima, Peru",Peru,5
Area Metropolitana De Chiclayo,Peru,4
"Ate, Lima, Peru",Peru,4
Brasil,Brasil,4
Chile,Chile,4
"Callao, Callao, Peru",Peru,3
Ecuador,Ecuador,3
"Piura, Piura, Peru",Peru,3
Republica Dominicana,Republica Dominicana,3
Area Metropolitana De Trujillo,Peru,2
"Buenos Aires, Provincia De Buenos Aires, Argentina",Argentina,2
"Chancay, Lima, Peru",Peru,2
"Comas, Lima, Peru",Peru,2
El Salvador,El Salvador,2
Espana,Espana,2
"Huanuco, Peru",Peru,2
"Huaraz, Ancash, Peru",Peru,2
"Jose Luis Bustamante Y Rivero, Arequipa, Peru",Peru,2
"Los Olivos, Lima, Peru",Peru,2
"Molino, Huanuco, Peru",Peru,2
"San Isidro, Lima, Peru",Peru,2
Area Metropolitana De Arequipa,Peru,1
Area Metropolitana De Huancayo,Peru,1
"Bellavista, Callao, Peru",Peru,1
Bolivia,Bolivia,1
"Chiclayo, Lambayeque, Peru",Peru,1
Costa Rica,Costa Rica,1
"Cundinamarca, Colombia",Colombia,1
"El Alto, Piura, Peru",Peru,1
"El Tambo, Junin, Peru",Peru,1
Emiratos Arabes Unidos,Emiratos Arabes Unidos,1
Francia,Francia,1
"Huancayo, Junin, Peru",Peru,1
"Ica, Ica, Peru",Peru,1
"La Victoria, Lima, Peru",Peru,1
"Lambayeque, Peru",Peru,1
"Laredo, Departamento De La Libertad, Peru",Peru,1
Lima Metropolitan Area,Peru,1
"Lince, Lima, Peru",Peru,1
Mataro Y Alrededores,Espana,1
"Nuestra Senora Del Rosario De Baruta, Distrito Federal, Venezuela",Venezuela,1
Panama,Panama,1
"Paucarpata, Arequipa, Peru",Peru,1
"Provincia De Canete, Lima, Peru",Peru,1
"Provincia De Huancayo, Junin, Peru",Peru,1
"Provincia De Santiago De Chuco, Departamento De La Libertad, Peru",Peru,1
"Provincia De Sullana, Piura, Peru",Peru,1
"Provincia De Trujillo, Departamento De La Libertad, Peru",Peru,1
"San Juan De Lurigancho, Lima, Peru",Peru,1
"San Luis, Lima, Peru",Peru,1
"San Martin De Porres, Lima, Peru",Peru,1
"Santiago, Cusco, Peru",Peru,1
"Santo Domingo De Guzman, Distrito Nacional, Republica Dominicana",Republica Dominicana,1
"Ucayali, Peru",Peru,1
"Ventanilla, Callao, Peru",Peru,1
"Villa De Maria, Cordoba, Argentina",Argentina,1
"Yanacancha, Pasco, Peru",Peru,1
