studyCenter,equivalence,count,equals
.,.,2,TRUE
1To1,1To1,2,TRUE
3 Dev,3 Dev,2,TRUE
3Dev Business Consulting Sac(Scrum.Org),3Dev Business Consulting Sac(Scrum.Org),1,TRUE
6Sigma Study,6Sigma Study,3,TRUE
6Sigmastudy,6Sigmastudy,2,TRUE
Abaccus,Abaccus,1,TRUE
Ac Enginering/Electronets C.A,Ac Enginering/Electronets C.A,6,TRUE
Academia Internacional Swat,Academia Internacional Swat,1,TRUE
Academia Moviles,Academia Moviles,1,TRUE
Academia Project Now,Academia Project Now,1,TRUE
Academiamoviles,Academiamoviles,5,TRUE
Academias Moviles,Academias Moviles,1,TRUE
Academico Tecnicas- Cp,Academico Tecnicas- Cp,2,TRUE
Acamica,Acamica,1,TRUE
Acpb Britanico,Acpb Britanico,1,TRUE
Acronis Cyberfit Academy,Acronis Cyberfit Academy,2,TRUE
Acti Sac,Acti Sac,3,TRUE
Adex,Adex,1,TRUE
Adex Educacion Continua,Adex Educacion Continua,1,TRUE
Aduanec,Aduanec,1,TRUE
Aenor Peru,Aenor Peru,1,TRUE
Agile Wise Corp.,Agile Wise Corp.,1,TRUE
Ajys,Ajys,1,TRUE
Alison,Alison,1,TRUE
Alura Latam,Alura Latam,1,TRUE
Amazon Web Service,Amazon Web Service,3,TRUE
Amazon Web Services,Amazon Web Services,1,TRUE
American Institute,American Institute,1,TRUE
"Andrew Ng, Coursera","Andrew Ng, Coursera",1,TRUE
Apecose,Apecose,1,TRUE
Apem,Apem,1,TRUE
Area 51,Area 51,1,TRUE
Area 51 Training Center,Area 51 Training Center,1,TRUE
Area51 Training Center,Area51 Training Center,1,TRUE
Asbanc,Asbanc,1,TRUE
Asociacion Automotriz Del Peru,Asociacion Automotriz Del Peru,1,TRUE
Asociacion Cultural Peruano Britanica,Asociacion Cultural Peruano Britanica,15,TRUE
Asociacion Peruana De Estudiantes De Marketing,Asociacion Peruana De Estudiantes De Marketing,1,TRUE
Asopdes Hekal,Asopdes Hekal,1,TRUE
Atlantic International University,Atlantic International University,1,TRUE
Auraportal Training School (Bpm),Auraportal Training School (Bpm),1,TRUE
Autodesk Curses,Autodesk Curses,1,TRUE
Autodidacta,Autodidacta,1,TRUE
Autonoma Del Peru,Autonoma Del Peru,1,TRUE
Autoprocesos,Autoprocesos,2,TRUE
Autotec Peru Corporation S.A.C,Autotec Peru Corporation S.A.C,1,TRUE
Avansys - Cibertec,Avansys - Cibertec,1,TRUE
Aws,Aws,1,TRUE
Aws Certified,Aws Certified,1,TRUE
Aws Education,Aws Education,1,TRUE
Aws University,Aws University,1,TRUE
Axelo,Axelo,1,TRUE
Axelos,Axelos,3,TRUE
Axelos Global Best Practice,Axelos Global Best Practice,1,TRUE
"Axelos, Pmc","Axelos, Pmc",1,TRUE
B.Soft,B.Soft,1,TRUE
Be Cert,Be Cert,1,TRUE
Beihang University,Beihang University,1,TRUE
Bertrand Rusell,Bertrand Rusell,1,TRUE
Bi64Pro,Bi64Pro,1,TRUE
Big Data Academy,Big Data Academy,3,TRUE
Big Data Academy Peru,Big Data Academy Peru,2,TRUE
Bigdata Academy,Bigdata Academy,1,TRUE
Bitel,Bitel,1,TRUE
Boston University,Boston University,1,TRUE
Britanico,Britanico,1,TRUE
Brother Escuela De Creativos,Brother Escuela De Creativos,1,TRUE
