jobProfileName,candidateResidenceCountry,candidateCivilStatus,candidateBirthCountry,salary,lastWorkCompany,lastWorkCountry,lastWorkArea,lastWorkName,yearsOfExperience,worksNumber,lastEducationCompany,lastEducationCountry,lastEducationArea,lastEducationName,lastEducationStatus,lastEducationDegree,yearsOfStudy,studiesNumber,technicalSkills,languages,otherSkills,hired
Cloud Specialist,Peru,Casado/A,Peru,6000,Tgestiona Sac,Peru,Infraestructura,Administrador De Servidores,16,14,Universidad Nacional Pedro Ruiz Gallo,Peru,Computacion / Informatica,Bachiller En Computacion E Informatica,Graduado,Universitario,20,1,9,1,9,0
Data Engineer,Peru,Soltero/A,Peru,6000,Universidad Privada Del Norte Sac,Peru,Analisis De Datos,Especialista De Gestion De Informacion Y Analitycs,5,5,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Maestria En Data Science,En Curso,Master,9,9,3,1,2,0
Especialista En Analitica,Peru,Soltero/A,Peru,9000,Banco Interamericano De Desarrollo (Bid) - Sunat,Peru,Liderazgo De Proyecto,Consultor Especialista,17,9,Universidad Ricardo Palma,Peru,Computacion / Informatica,Maestria En Data Science,Graduado,Posgrado,13,10,8,1,5,0
Analista De Sistemas,Peru,Casado/A,Peru,5500,Stefanini It Solutions,Peru,Programacion,Analista Programador,8,5,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,4,2,7,2,1,0
Gestor De Servicios De Ti,Peru,Casado/A,Peru,6000,Navarro &Amp; Ganico,Peru,Otros,Gerente De Proyectos,32,6,Universidad San Ignacio Del Loyola,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,10,1,0,1,0,0
Programador .Net,Peru,Soltero/A,Peru,5500,Inetum Peru S.A.C.,Peru,Seguros,Analista Programador,16,9,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,10,2,31,1,3,0
Programador Frontend,Peru,Soltero/A,Peru,1000,Neon House Led Sac,Peru,Programacion,Practicante De Desarrollo Web,0,2,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,8,3,7,1,9,0
Asistente De Pmo,Peru,Soltero/A,Peru,2000,Universidad Privada Del Norte Sac,Peru,Soporte Tecnico,Asistente De Soporte De Entornos Virtuales,9,6,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,9,4,9,1,8,0
Bootcamp G&S | Desarrollo E Innovacion,Peru,Soltero/A,Peru,2500,Universidad Privada Del Norte Sac,Peru,Soporte Tecnico,Asistente De Soporte De Entornos Virtuales,9,6,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,9,4,9,1,8,0
Analista Funcional,Peru,Soltero/A,Peru,3500,Ntt Data Peru S.A.C.,Peru,Analisis De Datos,Analista De Base De Datos,6,3,Universidad Cesar Vallejo,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,0,2,0,0
Practicante De Infrastructure & Cloud,Peru,Soltero/A,Peru,930,,,,,0,0,Universidad Cesar Vallejo,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,3,1,0,1,20,1
Practicante De Infrastructure & Cloud,Peru,Soltero/A,Peru,1025,,,,,0,0,Universidad Nacional Federico Villarreal,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,3,1,2,3,1,0
Cloud Specialist,Peru,Soltero/A,Peru,3000,Aurus Ti,Peru,Analisis De Datos,Analista Bi,2,3,Universidad San Ignacio Del Loyola,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,5,1,2,0
Cloud Specialist,Peru,Soltero/A,Peru,3500,Aurus Ti,Peru,Analisis De Datos,Analista Bi,2,3,Universidad San Ignacio Del Loyola,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,7,1,2,0
Especialista En Office 365,Peru,Soltero/A,Peru,3000,Aurus Ti,Peru,Analisis De Datos,Analista Bi,2,3,Universidad San Ignacio Del Loyola,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,7,1,2,0
Cloud Specialist,Peru,Soltero/A,Peru,3500,Aurus Ti,Peru,Analisis De Datos,Analista Bi,2,3,Universidad San Ignacio Del Loyola,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,7,1,2,0
Especialista En Analitica,Peru,Soltero/A,Peru,3000,Aurus Ti,Peru,Analisis De Datos,Analista Bi,2,3,Universidad San Ignacio Del Loyola,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,7,1,2,0
Analista De Calidad,Peru,Soltero/A,Peru,1000,Cuidados En Casa,Argentina,Otros,Asistente De Coordinadora,10,9,Universidad Norbert Wiener,Peru,Computacion / Informatica,Ingenieria De Sistemas,Abandonado,Universitario,24,2,0,0,1,0
Software Engineer,Peru,Soltero/A,Peru,700,Connecttix,Peru,Programacion,Programador Movil,0,2,Universidad Catolica Santa Maria,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,4,1,13,2,8,0
Programador .Net,Peru,Soltero/A,Peru,2700,Design & Development Software Sac,Peru,Programacion,Desarrollador,0,2,Universidad Privada De Tacna,Peru,Computacion / Informatica,Ingenieria De Sistemas,Graduado,Universitario,4,1,8,2,4,0
