algoritmo,tipo,registrosEntrenamiento,registrosPrueba,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,11190,3729,366ms,"[[1706, 187], [0, 1836]]",94.99%,90.76%,100.00%,95.15%
DT,Particion 2,11189,3730,390ms,"[[1674, 194], [0, 1862]]",94.80%,90.56%,100.00%,95.05%
DT,Particion 3,11189,3730,406ms,"[[1662, 175], [0, 1893]]",95.31%,91.54%,100.00%,95.58%
DT,Particion 4,11189,3730,326ms,"[[1664, 174], [0, 1892]]",95.34%,91.58%,100.00%,95.60%
DT,Total de datos,14919,4973,601ms,"[[2308, 202], [0, 2463]]",95.94%,92.42%,100.00%,96.06%
GB,Particion 1,11190,3729,5839ms,"[[1430, 463], [572, 1264]]",72.24%,73.19%,68.85%,70.95%
GB,Particion 2,11189,3730,5879ms,"[[1484, 384], [677, 1185]]",71.55%,75.53%,63.64%,69.08%
GB,Particion 3,11189,3730,5913ms,"[[1428, 409], [604, 1289]]",72.84%,75.91%,68.09%,71.79%
GB,Particion 4,11189,3730,5867ms,"[[1415, 423], [623, 1269]]",71.96%,75.00%,67.07%,70.81%
GB,Total de datos,14919,4973,7618ms,"[[1935, 575], [799, 1664]]",72.37%,74.32%,67.56%,70.78%
GNB,Particion 1,11190,3729,127ms,"[[1804, 89], [1015, 821]]",70.39%,90.22%,44.72%,59.80%
GNB,Particion 2,11189,3730,115ms,"[[1795, 73], [1062, 800]]",69.57%,91.64%,42.96%,58.50%
GNB,Particion 3,11189,3730,113ms,"[[1751, 86], [1048, 845]]",69.60%,90.76%,44.64%,59.84%
GNB,Particion 4,11189,3730,111ms,"[[1761, 77], [1060, 832]]",69.52%,91.53%,43.97%,59.41%
GNB,Total de datos,14919,4973,159ms,"[[2423, 87], [1312, 1151]]",71.87%,92.97%,46.73%,62.20%
KNN,Particion 1,11190,3729,311ms,"[[1672, 221], [13, 1823]]",93.72%,89.19%,99.29%,93.97%
KNN,Particion 2,11189,3730,278ms,"[[1652, 216], [15, 1847]]",93.81%,89.53%,99.19%,94.11%
KNN,Particion 3,11189,3730,277ms,"[[1631, 206], [6, 1887]]",94.32%,90.16%,99.68%,94.68%
KNN,Particion 4,11189,3730,279ms,"[[1621, 217], [3, 1889]]",94.10%,89.70%,99.84%,94.50%
KNN,Total de datos,14919,4973,478ms,"[[2315, 195], [0, 2463]]",96.08%,92.66%,100.00%,96.19%
LR,Particion 1,11190,3729,380ms,"[[1455, 438], [415, 1421]]",77.13%,76.44%,77.40%,76.91%
LR,Particion 2,11189,3730,379ms,"[[1479, 389], [450, 1412]]",77.51%,78.40%,75.83%,77.10%
LR,Particion 3,11189,3730,385ms,"[[1482, 355], [423, 1470]]",79.14%,80.55%,77.65%,79.07%
LR,Particion 4,11189,3730,407ms,"[[1453, 385], [453, 1439]]",77.53%,78.89%,76.06%,77.45%
LR,Total de datos,14919,4973,544ms,"[[2029, 481], [515, 1948]]",79.97%,80.20%,79.09%,79.64%
RF,Particion 1,11190,3729,2620ms,"[[1892, 1], [0, 1836]]",99.97%,99.95%,100.00%,99.97%
RF,Particion 2,11189,3730,2711ms,"[[1868, 0], [0, 1862]]",100.00%,100.00%,100.00%,100.00%
RF,Particion 3,11189,3730,2811ms,"[[1837, 0], [0, 1893]]",100.00%,100.00%,100.00%,100.00%
RF,Particion 4,11189,3730,2681ms,"[[1838, 0], [0, 1892]]",100.00%,100.00%,100.00%,100.00%
RF,Total de datos,14919,4973,3498ms,"[[2509, 1], [0, 2463]]",99.98%,99.96%,100.00%,99.98%
SVM,Particion 1,11190,3729,26077ms,"[[1759, 134], [115, 1721]]",93.32%,92.78%,93.74%,93.25%
SVM,Particion 2,11189,3730,25901ms,"[[1741, 127], [120, 1742]]",93.38%,93.20%,93.56%,93.38%
SVM,Particion 3,11189,3730,26621ms,"[[1738, 99], [125, 1768]]",93.99%,94.70%,93.40%,94.04%
SVM,Particion 4,11189,3730,26829ms,"[[1725, 113], [122, 1770]]",93.70%,94.00%,93.55%,93.77%
SVM,Total de datos,14919,4973,46394ms,"[[2397, 113], [93, 2370]]",95.86%,95.45%,96.22%,95.84%
