algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,7441,2480,0.33,981ms,"[[1737, 126], [24, 593]]",93.95%,82.48%,96.11%,88.77%
DT,Particion 2,7441,2480,0.33,832ms,"[[1704, 141], [28, 607]]",93.19%,81.15%,95.59%,87.78%
DT,Particion 3,7441,2480,0.33,841ms,"[[1748, 108], [27, 597]]",94.56%,84.68%,95.67%,89.84%
DT,Particion 4,7440,2481,0.33,798ms,"[[1761, 111], [10, 599]]",95.12%,84.37%,98.36%,90.83%
DT,Total de datos,9921,3307,0.33,1385ms,"[[2369, 141], [15, 782]]",95.28%,84.72%,98.12%,90.93%
GB,Particion 1,7441,2480,0.33,4424ms,"[[1857, 6], [466, 151]]",80.97%,96.18%,24.47%,39.02%
GB,Particion 2,7441,2480,0.33,4381ms,"[[1834, 11], [475, 160]]",80.40%,93.57%,25.20%,39.70%
GB,Particion 3,7441,2480,0.33,4363ms,"[[1853, 3], [467, 157]]",81.05%,98.12%,25.16%,40.05%
GB,Particion 4,7440,2481,0.33,4424ms,"[[1867, 5], [458, 151]]",81.34%,96.79%,24.79%,39.48%
GB,Total de datos,9921,3307,0.33,6089ms,"[[2504, 6], [604, 193]]",81.55%,96.98%,24.22%,38.76%
GNB,Particion 1,7441,2480,0.33,117ms,"[[483, 1380], [21, 596]]",43.51%,30.16%,96.60%,45.97%
GNB,Particion 2,7441,2480,0.33,109ms,"[[506, 1339], [16, 619]]",45.36%,31.61%,97.48%,47.74%
GNB,Particion 3,7441,2480,0.33,109ms,"[[515, 1341], [18, 606]]",45.20%,31.12%,97.12%,47.14%
GNB,Particion 4,7440,2481,0.33,112ms,"[[492, 1380], [15, 594]]",43.77%,30.09%,97.54%,45.99%
GNB,Total de datos,9921,3307,0.33,153ms,"[[624, 1886], [21, 776]]",42.33%,29.15%,97.37%,44.87%
KNN,Particion 1,7441,2480,0.33,217ms,"[[1709, 154], [150, 467]]",87.74%,75.20%,75.69%,75.44%
KNN,Particion 2,7441,2480,0.33,200ms,"[[1682, 163], [149, 486]]",87.42%,74.88%,76.54%,75.70%
KNN,Particion 3,7441,2480,0.33,229ms,"[[1694, 162], [135, 489]]",88.02%,75.12%,78.37%,76.71%
KNN,Particion 4,7440,2481,0.33,204ms,"[[1687, 185], [112, 497]]",88.03%,72.87%,81.61%,76.99%
KNN,Total de datos,9921,3307,0.33,335ms,"[[2288, 222], [124, 673]]",89.54%,75.20%,84.44%,79.55%
LR,Particion 1,7441,2480,0.33,353ms,"[[1780, 83], [374, 243]]",81.57%,74.54%,39.38%,51.54%
LR,Particion 2,7441,2480,0.33,309ms,"[[1736, 109], [350, 285]]",81.49%,72.34%,44.88%,55.39%
LR,Particion 3,7441,2480,0.33,312ms,"[[1744, 112], [360, 264]]",80.97%,70.21%,42.31%,52.80%
LR,Particion 4,7440,2481,0.33,311ms,"[[1764, 108], [350, 259]]",81.54%,70.57%,42.53%,53.07%
LR,Total de datos,9921,3307,0.33,456ms,"[[2366, 144], [463, 334]]",81.64%,69.87%,41.91%,52.39%
RF,Particion 1,7441,2480,0.33,2665ms,"[[1863, 0], [30, 587]]",98.79%,100.00%,95.14%,97.51%
RF,Particion 2,7441,2480,0.33,2605ms,"[[1844, 1], [26, 609]]",98.91%,99.84%,95.91%,97.83%
RF,Particion 3,7441,2480,0.33,2736ms,"[[1856, 0], [28, 596]]",98.87%,100.00%,95.51%,97.70%
RF,Particion 4,7440,2481,0.33,2851ms,"[[1872, 0], [14, 595]]",99.44%,100.00%,97.70%,98.84%
RF,Total de datos,9921,3307,0.33,4153ms,"[[2510, 0], [17, 780]]",99.49%,100.00%,97.87%,98.92%
SVM,Particion 1,7441,2480,0.33,15528ms,"[[1859, 4], [345, 272]]",85.93%,98.55%,44.08%,60.92%
SVM,Particion 2,7441,2480,0.33,14344ms,"[[1836, 9], [309, 326]]",87.18%,97.31%,51.34%,67.22%
SVM,Particion 3,7441,2480,0.33,13974ms,"[[1849, 7], [306, 318]]",87.38%,97.85%,50.96%,67.02%
SVM,Particion 4,7440,2481,0.33,14442ms,"[[1870, 2], [297, 312]]",87.95%,99.36%,51.23%,67.61%
SVM,Total de datos,9921,3307,0.33,25137ms,"[[2502, 8], [341, 456]]",89.45%,98.28%,57.21%,72.32%
