algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
KNN,Total de datos,9081,3028,0.2,0.20s,"[[2377, 167], [121, 363]]",90.49%,68.49%,75.00%,71.60%,0.02ms
LR,Total de datos,9081,3028,0.2,0.42s,"[[2484, 60], [313, 171]]",87.68%,74.03%,35.33%,47.83%,0.04ms
GNB,Total de datos,9081,3028,0.2,0.10s,"[[839, 1705], [11, 473]]",43.33%,21.72%,97.73%,35.54%,0.01ms
DT,Total de datos,9081,3028,0.2,1.02s,"[[2435, 109], [19, 465]]",95.77%,81.01%,96.07%,87.90%,0.08ms
SVM,Total de datos,9081,3028,0.2,10.99s,"[[2544, 0], [272, 212]]",91.02%,100.00%,43.80%,60.92%,0.91ms
RF,Total de datos,9081,3028,0.2,2.59s,"[[2544, 0], [25, 459]]",99.17%,100.00%,94.83%,97.35%,0.21ms
GB,Total de datos,9081,3028,0.2,4.78s,"[[2541, 3], [370, 114]]",87.68%,97.44%,23.55%,37.94%,0.39ms
KNN,Particion 1,6811,2270,0.2,0.15s,"[[1752, 124], [117, 277]]",89.38%,69.08%,70.30%,69.69%,0.02ms
LR,Particion 1,6811,2270,0.2,0.26s,"[[1837, 39], [274, 120]]",86.21%,75.47%,30.46%,43.40%,0.03ms
GNB,Particion 1,6811,2270,0.2,0.07s,"[[627, 1249], [10, 384]]",44.54%,23.52%,97.46%,37.89%,0.01ms
DT,Particion 1,6811,2270,0.2,0.76s,"[[1799, 77], [25, 369]]",95.51%,82.74%,93.65%,87.86%,0.08ms
SVM,Particion 1,6811,2270,0.2,6.03s,"[[1876, 0], [257, 137]]",88.68%,100.00%,34.77%,51.60%,0.66ms
RF,Particion 1,6811,2270,0.2,1.85s,"[[1876, 0], [28, 366]]",98.77%,100.00%,92.89%,96.32%,0.20ms
GB,Particion 1,6811,2270,0.2,3.63s,"[[1874, 2], [315, 79]]",86.04%,97.53%,20.05%,33.26%,0.40ms
KNN,Particion 2,6811,2270,0.2,0.16s,"[[1734, 138], [139, 259]]",87.80%,65.24%,65.08%,65.16%,0.02ms
LR,Particion 2,6811,2270,0.2,0.27s,"[[1831, 41], [273, 125]]",86.17%,75.30%,31.41%,44.33%,0.03ms
GNB,Particion 2,6811,2270,0.2,0.07s,"[[627, 1245], [5, 393]]",44.93%,23.99%,98.74%,38.61%,0.01ms
DT,Particion 2,6811,2270,0.2,0.74s,"[[1785, 87], [36, 362]]",94.58%,80.62%,90.95%,85.48%,0.08ms
SVM,Particion 2,6811,2270,0.2,6.36s,"[[1872, 0], [258, 140]]",88.63%,100.00%,35.18%,52.04%,0.70ms
RF,Particion 2,6811,2270,0.2,1.97s,"[[1872, 0], [38, 360]]",98.33%,100.00%,90.45%,94.99%,0.22ms
GB,Particion 2,6811,2270,0.2,3.57s,"[[1869, 3], [310, 88]]",86.21%,96.70%,22.11%,35.99%,0.39ms
KNN,Particion 3,6811,2270,0.2,0.15s,"[[1756, 132], [137, 245]]",88.15%,64.99%,64.14%,64.56%,0.02ms
LR,Particion 3,6811,2270,0.2,0.26s,"[[1844, 44], [253, 129]]",86.92%,74.57%,33.77%,46.49%,0.03ms
GNB,Particion 3,6811,2270,0.2,0.07s,"[[642, 1246], [13, 369]]",44.54%,22.85%,96.60%,36.96%,0.01ms
DT,Particion 3,6811,2270,0.2,0.61s,"[[1784, 104], [32, 350]]",94.01%,77.09%,91.62%,83.73%,0.07ms
SVM,Particion 3,6811,2270,0.2,6.81s,"[[1888, 0], [251, 131]]",88.94%,100.00%,34.29%,51.07%,0.75ms
RF,Particion 3,6811,2270,0.2,1.92s,"[[1888, 0], [36, 346]]",98.41%,100.00%,90.58%,95.05%,0.21ms
GB,Particion 3,6811,2270,0.2,3.60s,"[[1883, 5], [304, 78]]",86.39%,93.98%,20.42%,33.55%,0.40ms
KNN,Particion 4,6810,2271,0.2,0.15s,"[[1752, 159], [105, 255]]",88.38%,61.59%,70.83%,65.89%,0.02ms
LR,Particion 4,6810,2271,0.2,0.30s,"[[1846, 65], [237, 123]]",86.70%,65.43%,34.17%,44.89%,0.03ms
GNB,Particion 4,6810,2271,0.2,0.08s,"[[641, 1270], [7, 353]]",43.77%,21.75%,98.06%,35.60%,0.01ms
DT,Particion 4,6810,2271,0.2,0.55s,"[[1809, 102], [21, 339]]",94.58%,76.87%,94.17%,84.64%,0.06ms
SVM,Particion 4,6810,2271,0.2,6.08s,"[[1911, 0], [229, 131]]",89.92%,100.00%,36.39%,53.36%,0.67ms
RF,Particion 4,6810,2271,0.2,1.87s,"[[1911, 0], [24, 336]]",98.94%,100.00%,93.33%,96.55%,0.21ms
GB,Particion 4,6810,2271,0.2,3.60s,"[[1906, 5], [275, 85]]",87.67%,94.44%,23.61%,37.78%,0.40ms
