KNN,SVM,LR,GNB,GBM,DT,RF
K vecinos más cercanos,Máquina de vectores de soporte,Regresión logística,Naive bayes gaussiano,Aumento de gradiente,Árbol de decisión,Bosque aleatorio
Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos
Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna
9655,9655,9655,9655,9655,9655,9655
2414,2414,2414,2414,2414,2414,2414
0.2,0.2,0.2,0.2,0.2,0.2,0.2
"[[1948, 69], [13, 384]]","[[2013, 4], [90, 307]]","[[1982, 35], [247, 150]]","[[990, 1027], [4, 393]]","[[2014, 3], [326, 71]]","[[1949, 68], [15, 382]]","[[2017, 0], [14, 383]]"
96.60%,96.11%,88.32%,57.29%,86.37%,96.56%,99.42%
84.77%,98.71%,81.08%,27.68%,95.95%,84.89%,100.00%
96.73%,77.33%,37.78%,98.99%,17.88%,96.22%,96.47%
90.35%,86.72%,51.55%,43.26%,30.15%,90.20%,98.21%
92.11%,89.72%,64.68%,56.80%,57.59%,91.97%,98.52%
0.38206s,22.13423s,0.68301s,0.24976s,8.68426s,1.93485s,4.40416s
0.00003s,0.00183s,0.00006s,0.00002s,0.00072s,0.00016s,0.00036s
