sigla,algoritmo,particion,estadoAleatorio,tecnicaValidacion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,matrizConfusion,exactitud,precision,sensibilidad,robustez,tiempoPromedio,promedioMetricas
KNN,K vecinos más cercanos,Total de datos,0,Ninguna,9051,3018,0.2,"[[2363, 162], [108, 385]]",91.05%,70.38%,78.09%,74.04%,0.027,78.39%
SVM,Máquina de vectores de soporte,Total de datos,0,Ninguna,9051,3018,0.2,"[[2525, 0], [180, 313]]",94.04%,100.00%,63.49%,77.67%,1.675,83.80%
LR,Regresión logística,Total de datos,0,Ninguna,9051,3018,0.2,"[[2484, 41], [312, 181]]",88.30%,81.53%,36.71%,50.63%,0.048,64.29%
DT,Árbol de decisión,Total de datos,0,Ninguna,9051,3018,0.2,"[[2422, 103], [24, 469]]",95.79%,81.99%,95.13%,88.08%,0.158,90.25%
RF,Bosque aleatorio,Total de datos,0,Ninguna,9051,3018,0.2,"[[2525, 0], [22, 471]]",99.27%,100.00%,95.54%,97.72%,0.313,98.13%
GBM,Aumento de gradiente,Total de datos,0,Ninguna,9051,3018,0.2,"[[2524, 1], [396, 97]]",86.85%,98.98%,19.68%,32.83%,0.638,59.58%
KNN,K vecinos más cercanos,Total de datos,1,Ninguna,9051,3018,0.2,"[[2340, 186], [116, 376]]",89.99%,66.90%,76.42%,71.35%,0.028,76.17%
SVM,Máquina de vectores de soporte,Total de datos,1,Ninguna,9051,3018,0.2,"[[2523, 3], [200, 292]]",93.27%,98.98%,59.35%,74.21%,1.598,81.45%
LR,Regresión logística,Total de datos,1,Ninguna,9051,3018,0.2,"[[2449, 77], [316, 176]]",86.98%,69.57%,35.77%,47.25%,0.045,59.89%
DT,Árbol de decisión,Total de datos,1,Ninguna,9051,3018,0.2,"[[2435, 91], [21, 471]]",96.29%,83.81%,95.73%,89.37%,0.137,91.30%
RF,Bosque aleatorio,Total de datos,1,Ninguna,9051,3018,0.2,"[[2526, 0], [21, 471]]",99.30%,100.00%,95.73%,97.82%,0.308,98.21%
GBM,Aumento de gradiente,Total de datos,1,Ninguna,9051,3018,0.2,"[[2523, 3], [410, 82]]",86.32%,96.47%,16.67%,28.42%,0.637,56.97%
KNN,K vecinos más cercanos,Total de datos,2,Ninguna,9051,3018,0.2,"[[2380, 149], [120, 369]]",91.09%,71.24%,75.46%,73.29%,0.027,77.77%
SVM,Máquina de vectores de soporte,Total de datos,2,Ninguna,9051,3018,0.2,"[[2525, 4], [202, 287]]",93.17%,98.63%,58.69%,73.59%,1.591,81.02%
LR,Regresión logística,Total de datos,2,Ninguna,9051,3018,0.2,"[[2464, 65], [299, 190]]",87.94%,74.51%,38.85%,51.08%,0.055,63.09%
DT,Árbol de decisión,Total de datos,2,Ninguna,9051,3018,0.2,"[[2428, 101], [14, 475]]",96.19%,82.47%,97.14%,89.20%,0.145,91.25%
RF,Bosque aleatorio,Total de datos,2,Ninguna,9051,3018,0.2,"[[2529, 0], [15, 474]]",99.50%,100.00%,96.93%,98.44%,0.317,98.72%
GBM,Aumento de gradiente,Total de datos,2,Ninguna,9051,3018,0.2,"[[2528, 1], [405, 84]]",86.55%,98.82%,17.18%,29.27%,0.637,57.95%
KNN,K vecinos más cercanos,Total de datos,3,Ninguna,9051,3018,0.2,"[[2348, 170], [111, 389]]",90.69%,69.59%,77.80%,73.47%,0.028,77.89%
SVM,Máquina de vectores de soporte,Total de datos,3,Ninguna,9051,3018,0.2,"[[2518, 0], [188, 312]]",93.77%,100.00%,62.40%,76.85%,1.622,83.25%
LR,Regresión logística,Total de datos,3,Ninguna,9051,3018,0.2,"[[2468, 50], [298, 202]]",88.47%,80.16%,40.40%,53.72%,0.048,65.69%
DT,Árbol de decisión,Total de datos,3,Ninguna,9051,3018,0.2,"[[2414, 104], [19, 481]]",95.92%,82.22%,96.20%,88.66%,0.148,90.75%
RF,Bosque aleatorio,Total de datos,3,Ninguna,9051,3018,0.2,"[[2517, 1], [17, 483]]",99.40%,99.79%,96.60%,98.17%,0.309,98.49%
GBM,Aumento de gradiente,Total de datos,3,Ninguna,9051,3018,0.2,"[[2517, 1], [399, 101]]",86.75%,99.02%,20.20%,33.55%,0.637,59.88%
