sigla,KNN,SVM,LR,GNB,DT,RF
algoritmo,K vecinos más cercanos,Máquina de vectores de soporte,Regresión logística,Naive bayes gaussiano,Árbol de decisión,Bosque aleatorio
particion,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos
estadoAleatorio,0,0,0,0,0,0
tecnicaValidacion,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna
registrosEntrenamiento,9655,9655,9655,9655,9655,9655
registrosPrueba,2414,2414,2414,2414,2414,2414
proporcionSobremuestreo,0.2,0.2,0.2,0.2,0.2,0.2
matrizConfusion,"[[1948, 69], [13, 384]]","[[2017, 0], [139, 258]]","[[1982, 35], [247, 150]]","[[990, 1027], [4, 393]]","[[1949, 68], [15, 382]]","[[2017, 0], [14, 383]]"
exactitud,96.60%,94.24%,88.32%,57.29%,96.56%,99.42%
precision,84.77%,100.00%,81.08%,27.68%,84.89%,100.00%
sensibilidad,96.73%,64.99%,37.78%,98.99%,96.22%,96.47%
robustez,90.35%,78.78%,51.55%,43.26%,90.20%,98.21%
tiempoPromedio,0.027,1.726,0.052,0.017,0.155,0.361
promedioMetricas,92.11%,84.50%,64.68%,56.80%,91.97%,98.52%
