sigla,KP,KP,KP,KP,KP,KP,KPE,KPE,KPE,KPE,KPE,KPE,DA,DA,DA,DA,DA,DA,DAE,DAE,DAE,DAE,DAE,DAE
algoritmo,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio
particion,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5,Partición 6,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5,Partición 6,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5,Partición 6,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5,Partición 6
tecnicaValidacion,K pliegues,K pliegues,K pliegues,K pliegues,K pliegues,K pliegues,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,División aleatoria,División aleatoria,División aleatoria,División aleatoria,División aleatoria,División aleatoria,División aleatoria estratificada,División aleatoria estratificada,División aleatoria estratificada,División aleatoria estratificada,División aleatoria estratificada,División aleatoria estratificada
registrosEntrenamiento,10057,10057,10057,10058,10058,10058,10057,10057,10057,10058,10058,10058,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051
registrosPrueba,2012,2012,2012,2011,2011,2011,2012,2012,2012,2011,2011,2011,3018,3018,3018,3018,3018,3018,3018,3018,3018,3018,3018,3018
proporcionSobremuestreo,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
matrizConfusion,"[[1693, 0], [16, 303]]","[[1667, 0], [12, 333]]","[[1679, 0], [5, 328]]","[[1672, 0], [3, 336]]","[[1700, 0], [9, 302]]","[[1647, 0], [14, 350]]","[[1677, 0], [12, 323]]","[[1677, 0], [2, 333]]","[[1676, 0], [4, 332]]","[[1676, 0], [9, 326]]","[[1676, 0], [3, 332]]","[[1676, 0], [16, 319]]","[[2525, 0], [22, 471]]","[[2508, 0], [22, 488]]","[[2506, 0], [24, 488]]","[[2508, 0], [18, 492]]","[[2531, 0], [11, 476]]","[[2512, 0], [17, 489]]","[[2515, 0], [15, 488]]","[[2515, 0], [11, 492]]","[[2515, 0], [18, 485]]","[[2515, 0], [14, 489]]","[[2515, 0], [14, 489]]","[[2515, 0], [21, 482]]"
exactitud,99.20%,99.40%,99.75%,99.85%,99.55%,99.30%,99.40%,99.90%,99.80%,99.55%,99.85%,99.20%,99.27%,99.27%,99.20%,99.40%,99.64%,99.44%,99.50%,99.64%,99.40%,99.54%,99.54%,99.30%
precision,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
sensibilidad,94.98%,96.52%,98.50%,99.12%,97.11%,96.15%,96.42%,99.40%,98.81%,97.31%,99.10%,95.22%,95.54%,95.69%,95.31%,96.47%,97.74%,96.64%,97.02%,97.81%,96.42%,97.22%,97.22%,95.83%
robustez,97.43%,98.23%,99.24%,99.56%,98.53%,98.04%,98.18%,99.70%,99.40%,98.64%,99.55%,97.55%,97.72%,97.80%,97.60%,98.20%,98.86%,98.29%,98.49%,98.89%,98.18%,98.59%,98.59%,97.87%
tiempoPromedio,0.348,0.358,0.335,0.363,0.338,0.348,0.334,0.341,0.357,0.341,0.331,0.347,0.313,0.302,0.318,0.309,0.303,0.306,0.308,0.301,0.307,0.314,0.305,0.299
promedioMetricas,97.90%,98.54%,99.37%,99.63%,98.80%,98.37%,98.50%,99.75%,99.50%,98.88%,99.63%,98.00%,98.13%,98.19%,98.03%,98.52%,99.06%,98.59%,98.75%,99.09%,98.50%,98.84%,98.84%,98.25%
