algoritmo,particion,estrategiaValidacion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,robustez,promedioMetricas,tiempoPromedio
Bosque aleatorio,Partición 1,K iteraciones,9655,2414,0.2,3.91s,"[[2017, 0], [14, 383]]",99.42%,100.00%,96.47%,98.21%,98.52%,0.32ms
Bosque aleatorio,Partición 2,K iteraciones,9655,2414,0.2,3.85s,"[[2013, 0], [14, 387]]",99.42%,100.00%,96.51%,98.22%,98.54%,0.32ms
Bosque aleatorio,Partición 3,K iteraciones,9655,2414,0.2,3.74s,"[[2011, 0], [12, 391]]",99.50%,100.00%,97.02%,98.49%,98.75%,0.31ms
Bosque aleatorio,Partición 4,K iteraciones,9655,2414,0.2,3.90s,"[[2030, 0], [8, 376]]",99.67%,100.00%,97.92%,98.95%,99.13%,0.32ms
Bosque aleatorio,Partición 5,K iteraciones,9656,2413,0.2,4.08s,"[[1987, 0], [14, 412]]",99.42%,100.00%,96.71%,98.33%,98.62%,0.34ms
Bosque aleatorio,Partición 1,K iteraciones estratificadas,9655,2414,0.2,4.05s,"[[2012, 0], [8, 394]]",99.67%,100.00%,98.01%,98.99%,99.17%,0.34ms
Bosque aleatorio,Partición 2,K iteraciones estratificadas,9655,2414,0.2,3.78s,"[[2012, 0], [9, 393]]",99.63%,100.00%,97.76%,98.87%,99.06%,0.31ms
Bosque aleatorio,Partición 3,K iteraciones estratificadas,9655,2414,0.2,3.97s,"[[2012, 0], [10, 392]]",99.59%,100.00%,97.51%,98.74%,98.96%,0.33ms
Bosque aleatorio,Partición 4,K iteraciones estratificadas,9655,2414,0.2,3.99s,"[[2011, 0], [13, 390]]",99.46%,100.00%,96.77%,98.36%,98.65%,0.33ms
Bosque aleatorio,Partición 5,K iteraciones estratificadas,9656,2413,0.2,4.02s,"[[2011, 0], [15, 387]]",99.38%,100.00%,96.27%,98.10%,98.44%,0.33ms
Bosque aleatorio,Partición 1,División aleatoria,9655,2414,0.2,3.93s,"[[2017, 0], [14, 383]]",99.42%,100.00%,96.47%,98.21%,98.52%,0.33ms
Bosque aleatorio,Partición 2,División aleatoria,9655,2414,0.2,3.99s,"[[1982, 0], [13, 419]]",99.46%,100.00%,96.99%,98.47%,98.73%,0.33ms
Bosque aleatorio,Partición 3,División aleatoria,9655,2414,0.2,4.06s,"[[2010, 0], [16, 388]]",99.34%,100.00%,96.04%,97.98%,98.34%,0.34ms
Bosque aleatorio,Partición 4,División aleatoria,9655,2414,0.2,3.86s,"[[2007, 0], [11, 396]]",99.54%,100.00%,97.30%,98.63%,98.87%,0.32ms
Bosque aleatorio,Partición 5,División aleatoria,9655,2414,0.2,3.83s,"[[2010, 0], [9, 395]]",99.63%,100.00%,97.77%,98.87%,99.07%,0.32ms
