sigla,DAE,DAE,DAE,DAE,DAE
algoritmo,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio
particion,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5
estrategiaValidacion,División aleatoria estratificado,División aleatoria estratificado,División aleatoria estratificado,División aleatoria estratificado,División aleatoria estratificado
registrosEntrenamiento,10862,10862,10862,10862,10862
registrosPrueba,1207,1207,1207,1207,1207
proporcionSobremuestreo,0.2,0.2,0.2,0.2,0.2
matrizConfusion,"[[1006, 0], [3, 198]]","[[1006, 0], [2, 199]]","[[1006, 0], [3, 198]]","[[1006, 0], [2, 199]]","[[1006, 0], [7, 194]]"
exactitud,99.75%,99.83%,99.75%,99.83%,99.42%
precision,100.00%,100.00%,100.00%,100.00%,100.00%
sensibilidad,98.51%,99.00%,98.51%,99.00%,96.52%
robustez,99.25%,99.50%,99.25%,99.50%,98.23%
promedioMetricas,99.38%,99.58%,99.38%,99.58%,98.54%
tiempoTotal,4.65741s,4.78741s,4.73690s,4.80578s,4.76295s
tiempoPromedio,0.00039s,0.00040s,0.00039s,0.00040s,0.00039s
