0,1,2,3,4
DA,DA,DA,DA,DA
Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio
Partición 1,Partición 2,Partición 3,Partición 4,Partición 5
División aleatoria,División aleatoria,División aleatoria,División aleatoria,División aleatoria
9655,9655,9655,9655,9656
2414,2414,2414,2414,2413
0.2,0.2,0.2,0.2,0.2
"[[2012, 0], [8, 394]]","[[2012, 0], [9, 393]]","[[2012, 0], [10, 392]]","[[2011, 0], [13, 390]]","[[2011, 0], [15, 387]]"
99.67%,99.63%,99.59%,99.46%,99.38%
100.00%,100.00%,100.00%,100.00%,100.00%
98.01%,97.76%,97.51%,96.77%,96.27%
98.99%,98.87%,98.74%,98.36%,98.10%
99.17%,99.06%,98.96%,98.65%,98.44%
4.62409s,4.00931s,4.39851s,4.04885s,4.30806s
0.00038s,0.00033s,0.00036s,0.00034s,0.00036s
