sigla,tecnicaValidacion,exactitud,precision,sensibilidad,robustez,tiempoPromedio,promedioMetricas
KP,K pliegues,0.9929,1.0000,0.9579,0.9785,0.3171,0.9823
KPE,K pliegues estratificados,0.9946,1.0000,0.9677,0.9835,0.3168,0.9864
DA,División aleatoria,0.9929,1.0000,0.9575,0.9783,0.3164,0.9822
DAE,División aleatoria estratificada,0.9952,1.0000,0.9712,0.9854,0.3114,0.9879
KP,K pliegues,0.9946,1.0000,0.9676,0.9835,0.3075,0.9864
KPE,K pliegues estratificados,0.9930,1.0000,0.9582,0.9786,0.3084,0.9825
DA,División aleatoria,0.9940,0.9995,0.9635,0.9811,0.3272,0.9845
DAE,División aleatoria estratificada,0.9942,1.0000,0.9652,0.9822,0.3122,0.9854
KP,K pliegues,0.9945,1.0000,0.9671,0.9833,0.3053,0.9862
KPE,K pliegues estratificados,0.9945,1.0000,0.9667,0.9830,0.3054,0.9860
DA,División aleatoria,0.9945,1.0000,0.9667,0.9830,0.3070,0.9861
DAE,División aleatoria estratificada,0.9946,1.0000,0.9677,0.9835,0.3032,0.9865
