sigla,DA,DA,DA,DA,DA,DA
algoritmo,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio
particion,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5,Partición 6
tecnicaValidacion,División aleatoria,División aleatoria,División aleatoria,División aleatoria,División aleatoria,División aleatoria
registrosEntrenamiento,9051,9051,9051,9051,9051,9051
registrosPrueba,3018,3018,3018,3018,3018,3018
proporcionSobremuestreo,0.2,0.2,0.2,0.2,0.2,0.2
matrizConfusion,"[[2525, 0], [22, 471]]","[[2508, 0], [22, 488]]","[[2506, 0], [24, 488]]","[[2508, 0], [18, 492]]","[[2531, 0], [11, 476]]","[[2512, 0], [17, 489]]"
exactitud,99.27%,99.27%,99.20%,99.40%,99.64%,99.44%
precision,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
sensibilidad,95.54%,95.69%,95.31%,96.47%,97.74%,96.64%
robustez,97.72%,97.80%,97.60%,98.20%,98.86%,98.29%
tiempoPromedio,0.313,0.302,0.318,0.309,0.303,0.306
promedioMetricas,98.13%,98.19%,98.03%,98.52%,99.06%,98.59%
