sigla,KPE,KPE,KPE,KPE,KPE,KPE
algoritmo,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio
particion,Partición 1,Partición 2,Partición 3,Partición 4,Partición 5,Partición 6
tecnicaValidacion,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados,K pliegues estratificados
registrosEntrenamiento,10057,10057,10057,10058,10058,10058
registrosPrueba,2012,2012,2012,2011,2011,2011
proporcionSobremuestreo,0.2,0.2,0.2,0.2,0.2,0.2
matrizConfusion,"[[1677, 0], [12, 323]]","[[1677, 0], [2, 333]]","[[1676, 0], [4, 332]]","[[1676, 0], [9, 326]]","[[1676, 0], [3, 332]]","[[1676, 0], [16, 319]]"
exactitud,99.40%,99.90%,99.80%,99.55%,99.85%,99.20%
precision,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
sensibilidad,96.42%,99.40%,98.81%,97.31%,99.10%,95.22%
robustez,98.18%,99.70%,99.40%,98.64%,99.55%,97.55%
tiempoPromedio,0.334,0.341,0.357,0.341,0.331,0.347
promedioMetricas,98.50%,99.75%,99.50%,98.88%,99.63%,98.00%
