sigla,algoritmo,tecnica,iteracion,particion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,matrizConfusion,exactitud,precision,sensibilidad,robustez,tiempo,promedioMetricas
KNN,K vecinos más cercanos,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2347, 186], [92, 518]]",0.9115,0.7358,0.8492,0.7884,22.8782,0.8212
KNN,K vecinos más cercanos,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2331, 179], [108, 525]]",0.9087,0.7457,0.8294,0.7853,22.1354,0.8173
KNN,K vecinos más cercanos,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2338, 151], [87, 567]]",0.9243,0.7897,0.8670,0.8265,21.4162,0.8519
KNN,K vecinos más cercanos,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2342, 178], [73, 550]]",0.9201,0.7555,0.8828,0.8142,21.5570,0.8432
KNN,K vecinos más cercanos,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2351, 166], [93, 533]]",0.9176,0.7625,0.8514,0.8045,21.6889,0.8340
KNN,K vecinos más cercanos,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2329, 171], [93, 550]]",0.9160,0.7628,0.8554,0.8065,21.4466,0.8352
KNN,K vecinos más cercanos,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2293, 166], [124, 560]]",0.9077,0.7713,0.8187,0.7943,21.4962,0.8230
KNN,K vecinos más cercanos,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2321, 161], [100, 561]]",0.9170,0.7770,0.8487,0.8113,21.7575,0.8385
SVM,Máquina de vectores de soporte,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2530, 3], [169, 441]]",0.9453,0.9932,0.7230,0.8368,21.5725,0.8746
SVM,Máquina de vectores de soporte,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2505, 5], [190, 443]]",0.9380,0.9888,0.6998,0.8196,21.4639,0.8616
SVM,Máquina de vectores de soporte,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2487, 2], [173, 481]]",0.9443,0.9959,0.7355,0.8461,21.4441,0.8804
SVM,Máquina de vectores de soporte,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2515, 5], [199, 424]]",0.9351,0.9883,0.6806,0.8061,21.2249,0.8525
SVM,Máquina de vectores de soporte,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2515, 2], [195, 431]]",0.9373,0.9954,0.6885,0.8140,21.3410,0.8588
SVM,Máquina de vectores de soporte,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2498, 2], [168, 475]]",0.9459,0.9958,0.7387,0.8482,21.5120,0.8822
SVM,Máquina de vectores de soporte,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2459, 0], [226, 458]]",0.9281,1.0000,0.6696,0.8021,21.1728,0.8499
SVM,Máquina de vectores de soporte,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2479, 3], [201, 460]]",0.9351,0.9935,0.6959,0.8185,21.0112,0.8608
LR,Regresión logística,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2445, 88], [344, 266]]",0.8626,0.7514,0.4361,0.5519,2.2780,0.6505
LR,Regresión logística,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2424, 86], [330, 303]]",0.8676,0.7789,0.4787,0.5930,2.2290,0.6795
LR,Regresión logística,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2397, 92], [319, 335]]",0.8692,0.7845,0.5122,0.6198,2.1742,0.6965
LR,Regresión logística,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2444, 76], [342, 281]]",0.8670,0.7871,0.4510,0.5735,2.2051,0.6697
LR,Regresión logística,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2423, 94], [349, 277]]",0.8591,0.7466,0.4425,0.5557,2.1627,0.6510
LR,Regresión logística,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2425, 75], [319, 324]]",0.8746,0.8120,0.5039,0.6219,2.2223,0.7031
LR,Regresión logística,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2390, 69], [368, 316]]",0.8610,0.8208,0.4620,0.5912,2.1602,0.6837
LR,Regresión logística,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2395, 87], [351, 310]]",0.8606,0.7809,0.4690,0.5860,2.3917,0.6741
DT,Árbol de decisión,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2420, 113], [17, 593]]",0.9586,0.8399,0.9721,0.9012,1.3140,0.9180
DT,Árbol de decisión,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2431, 79], [13, 620]]",0.9707,0.8870,0.9795,0.9309,1.8629,0.9420
DT,Árbol de decisión,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2388, 101], [14, 640]]",0.9634,0.8637,0.9786,0.9176,1.4570,0.9308
DT,Árbol de decisión,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2422, 98], [11, 612]]",0.9653,0.8620,0.9823,0.9182,1.7109,0.9320
DT,Árbol de decisión,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2422, 95], [15, 611]]",0.9650,0.8654,0.9760,0.9174,2.0641,0.9310
DT,Árbol de decisión,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2422, 78], [8, 635]]",0.9726,0.8906,0.9876,0.9366,1.2060,0.9468
DT,Árbol de decisión,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2374, 85], [13, 671]]",0.9688,0.8876,0.9810,0.9319,1.6738,0.9423
DT,Árbol de decisión,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2394, 88], [15, 646]]",0.9672,0.8801,0.9773,0.9262,1.9822,0.9377
RF,Bosque aleatorio,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2533, 0], [17, 593]]",0.9946,1.0000,0.9721,0.9859,3.8598,0.9881
RF,Bosque aleatorio,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2510, 0], [12, 621]]",0.9962,1.0000,0.9810,0.9904,3.9670,0.9919
RF,Bosque aleatorio,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2489, 0], [14, 640]]",0.9955,1.0000,0.9786,0.9892,3.7821,0.9908
RF,Bosque aleatorio,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2520, 0], [11, 612]]",0.9965,1.0000,0.9823,0.9911,3.6726,0.9925
RF,Bosque aleatorio,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2517, 0], [19, 607]]",0.9940,1.0000,0.9696,0.9846,3.7995,0.9870
RF,Bosque aleatorio,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2500, 0], [9, 634]]",0.9971,1.0000,0.9860,0.9930,3.6943,0.9940
RF,Bosque aleatorio,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2459, 0], [13, 671]]",0.9959,1.0000,0.9810,0.9904,3.7743,0.9918
RF,Bosque aleatorio,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2482, 0], [20, 641]]",0.9936,1.0000,0.9697,0.9846,3.7496,0.9870
GBM,Aumento de gradiente,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2528, 5], [420, 190]]",0.8648,0.9744,0.3115,0.4720,15.2515,0.6557
GBM,Aumento de gradiente,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2503, 7], [445, 188]]",0.8562,0.9641,0.2970,0.4541,15.2890,0.6428
GBM,Aumento de gradiente,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2484, 5], [424, 230]]",0.8635,0.9787,0.3517,0.5174,15.4038,0.6778
GBM,Aumento de gradiente,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2518, 2], [431, 192]]",0.8622,0.9897,0.3082,0.4700,15.2819,0.6575
GBM,Aumento de gradiente,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2510, 7], [440, 186]]",0.8578,0.9637,0.2971,0.4542,15.2599,0.6432
GBM,Aumento de gradiente,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2499, 1], [410, 233]]",0.8692,0.9957,0.3624,0.5314,15.4144,0.6897
GBM,Aumento de gradiente,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2456, 3], [473, 211]]",0.8486,0.9860,0.3085,0.4699,15.3669,0.6532
GBM,Aumento de gradiente,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2475, 7], [459, 202]]",0.8517,0.9665,0.3056,0.4644,15.2996,0.6471
