sigla,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,LR,LR,LR,LR,LR,LR,LR,LR,DT,DT,DT,DT,DT,DT,DT,DT,RF,RF,RF,RF,RF,RF,RF,RF,GBM,GBM,GBM,GBM,GBM,GBM,GBM,GBM
algoritmo,K vecinos más cercanos,K vecinos más cercanos,K vecinos más cercanos,K vecinos más cercanos,K vecinos más cercanos,K vecinos más cercanos,K vecinos más cercanos,K vecinos más cercanos,Máquina de vectores de soporte,Máquina de vectores de soporte,Máquina de vectores de soporte,Máquina de vectores de soporte,Máquina de vectores de soporte,Máquina de vectores de soporte,Máquina de vectores de soporte,Máquina de vectores de soporte,Regresión logística,Regresión logística,Regresión logística,Regresión logística,Regresión logística,Regresión logística,Regresión logística,Regresión logística,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Bosque aleatorio,Aumento de gradiente,Aumento de gradiente,Aumento de gradiente,Aumento de gradiente,Aumento de gradiente,Aumento de gradiente,Aumento de gradiente,Aumento de gradiente
tecnica,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna
iteracion,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Iteración 6,Iteración 7,Iteración 8,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Iteración 6,Iteración 7,Iteración 8,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Iteración 6,Iteración 7,Iteración 8,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Iteración 6,Iteración 7,Iteración 8,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Iteración 6,Iteración 7,Iteración 8,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Iteración 6,Iteración 7,Iteración 8
particion,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos,Total de datos
registrosEntrenamiento,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429,9429
registrosPrueba,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143
proporcionSobremuestreo,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
matrizConfusion,"[[2372, 171], [92, 508]]","[[2320, 207], [94, 522]]","[[2347, 173], [114, 509]]","[[2329, 177], [90, 547]]","[[2323, 192], [105, 523]]","[[2299, 188], [83, 573]]","[[2341, 181], [94, 527]]","[[2306, 222], [94, 521]]","[[2540, 3], [183, 417]]","[[2524, 3], [162, 454]]","[[2520, 0], [181, 442]]","[[2502, 4], [172, 465]]","[[2511, 4], [188, 440]]","[[2484, 3], [171, 485]]","[[2519, 3], [163, 458]]","[[2527, 1], [150, 465]]","[[2462, 81], [331, 269]]","[[2439, 88], [309, 307]]","[[2424, 96], [310, 313]]","[[2425, 81], [316, 321]]","[[2423, 92], [315, 313]]","[[2414, 73], [318, 338]]","[[2429, 93], [304, 317]]","[[2426, 102], [296, 319]]","[[2456, 87], [8, 592]]","[[2420, 107], [14, 602]]","[[2421, 99], [11, 612]]","[[2426, 80], [10, 627]]","[[2433, 82], [11, 617]]","[[2387, 100], [8, 648]]","[[2434, 88], [3, 618]]","[[2419, 109], [3, 612]]","[[2543, 0], [12, 588]]","[[2527, 0], [14, 602]]","[[2520, 0], [11, 612]]","[[2506, 0], [10, 627]]","[[2515, 0], [11, 617]]","[[2487, 0], [7, 649]]","[[2522, 0], [8, 613]]","[[2528, 0], [3, 612]]","[[2538, 5], [417, 183]]","[[2521, 6], [424, 192]]","[[2513, 7], [429, 194]]","[[2501, 5], [420, 217]]","[[2497, 18], [449, 179]]","[[2480, 7], [439, 217]]","[[2514, 8], [431, 190]]","[[2523, 5], [402, 213]]"
exactitud,0.9163,0.9042,0.9087,0.9150,0.9055,0.9138,0.9125,0.8995,0.9408,0.9475,0.9424,0.9440,0.9389,0.9446,0.9472,0.9520,0.8689,0.8737,0.8708,0.8737,0.8705,0.8756,0.8737,0.8734,0.9698,0.9615,0.9650,0.9714,0.9704,0.9656,0.9710,0.9644,0.9962,0.9955,0.9965,0.9968,0.9965,0.9978,0.9975,0.9990,0.8657,0.8632,0.8613,0.8648,0.8514,0.8581,0.8603,0.8705
