sigla,algoritmo,iteración,particion,tecnicaValidacion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,matrizConfusion,exactitud,precision,sensibilidad,robustez,tiempoPromedio,promedioMetricas
KP,Bosque aleatorio,Iteración 1,Partición 1,K pliegues,9051,3018,0.2,"[[2525, 0], [24, 469]]",0.9920,1.0000,0.9513,0.9751,0.3183,0.9796
KP,Bosque aleatorio,Iteración 1,Partición 2,K pliegues,9052,3017,0.2,"[[2514, 0], [15, 488]]",0.9950,1.0000,0.9702,0.9849,0.3077,0.9875
KP,Bosque aleatorio,Iteración 1,Partición 3,K pliegues,9052,3017,0.2,"[[2524, 0], [16, 477]]",0.9947,1.0000,0.9675,0.9835,0.3215,0.9864
KP,Bosque aleatorio,Iteración 1,Partición 4,K pliegues,9052,3017,0.2,"[[2495, 0], [30, 492]]",0.9901,1.0000,0.9425,0.9704,0.3208,0.9757
KPE,Bosque aleatorio,Iteración 1,Partición 1,K pliegues estratificados,9051,3018,0.2,"[[2515, 0], [13, 490]]",0.9957,1.0000,0.9742,0.9869,0.3168,0.9892
KPE,Bosque aleatorio,Iteración 1,Partición 2,K pliegues estratificados,9052,3017,0.2,"[[2515, 0], [11, 491]]",0.9964,1.0000,0.9781,0.9889,0.3221,0.9908
KPE,Bosque aleatorio,Iteración 1,Partición 3,K pliegues estratificados,9052,3017,0.2,"[[2514, 0], [13, 490]]",0.9957,1.0000,0.9742,0.9869,0.3083,0.9892
KPE,Bosque aleatorio,Iteración 1,Partición 4,K pliegues estratificados,9052,3017,0.2,"[[2514, 0], [28, 475]]",0.9907,1.0000,0.9443,0.9714,0.3200,0.9766
DA,Bosque aleatorio,Iteración 1,Partición 1,División aleatoria,9051,3018,0.2,"[[2525, 0], [22, 471]]",0.9927,1.0000,0.9554,0.9772,0.3141,0.9813
DA,Bosque aleatorio,Iteración 1,Partición 2,División aleatoria,9051,3018,0.2,"[[2508, 0], [22, 488]]",0.9927,1.0000,0.9569,0.9780,0.3242,0.9819
DA,Bosque aleatorio,Iteración 1,Partición 3,División aleatoria,9051,3018,0.2,"[[2506, 0], [24, 488]]",0.9920,1.0000,0.9531,0.9760,0.3191,0.9803
DA,Bosque aleatorio,Iteración 1,Partición 4,División aleatoria,9051,3018,0.2,"[[2508, 0], [18, 492]]",0.9940,1.0000,0.9647,0.9820,0.3082,0.9852
DAE,Bosque aleatorio,Iteración 1,Partición 1,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [15, 488]]",0.9950,1.0000,0.9702,0.9849,0.3124,0.9875
DAE,Bosque aleatorio,Iteración 1,Partición 2,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [11, 492]]",0.9964,1.0000,0.9781,0.9889,0.3061,0.9909
DAE,Bosque aleatorio,Iteración 1,Partición 3,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [18, 485]]",0.9940,1.0000,0.9642,0.9818,0.3081,0.9850
DAE,Bosque aleatorio,Iteración 1,Partición 4,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [14, 489]]",0.9954,1.0000,0.9722,0.9859,0.3188,0.9884
KP,Bosque aleatorio,Iteración 2,Partición 1,K pliegues,9051,3018,0.2,"[[2526, 0], [21, 471]]",0.9930,1.0000,0.9573,0.9782,0.3028,0.9821
KP,Bosque aleatorio,Iteración 2,Partición 2,K pliegues,9052,3017,0.2,"[[2524, 0], [18, 475]]",0.9940,1.0000,0.9635,0.9814,0.3102,0.9847
KP,Bosque aleatorio,Iteración 2,Partición 3,K pliegues,9052,3017,0.2,"[[2495, 0], [15, 507]]",0.9950,1.0000,0.9713,0.9854,0.3094,0.9879
KP,Bosque aleatorio,Iteración 2,Partición 4,K pliegues,9052,3017,0.2,"[[2513, 0], [11, 493]]",0.9964,1.0000,0.9782,0.9890,0.3076,0.9909
KPE,Bosque aleatorio,Iteración 2,Partición 1,K pliegues estratificados,9051,3018,0.2,"[[2515, 0], [32, 471]]",0.9894,1.0000,0.9364,0.9671,0.3105,0.9732
KPE,Bosque aleatorio,Iteración 2,Partición 2,K pliegues estratificados,9052,3017,0.2,"[[2515, 0], [17, 485]]",0.9944,1.0000,0.9661,0.9828,0.3087,0.9858
KPE,Bosque aleatorio,Iteración 2,Partición 3,K pliegues estratificados,9052,3017,0.2,"[[2514, 0], [19, 484]]",0.9937,1.0000,0.9622,0.9807,0.3105,0.9842
KPE,Bosque aleatorio,Iteración 2,Partición 4,K pliegues estratificados,9052,3017,0.2,"[[2514, 0], [16, 487]]",0.9947,1.0000,0.9682,0.9838,0.3039,0.9867
DA,Bosque aleatorio,Iteración 2,Partición 1,División aleatoria,9051,3018,0.2,"[[2526, 0], [21, 471]]",0.9930,1.0000,0.9573,0.9782,0.3178,0.9821
DA,Bosque aleatorio,Iteración 2,Partición 2,División aleatoria,9051,3018,0.2,"[[2547, 0], [22, 449]]",0.9927,1.0000,0.9533,0.9761,0.3254,0.9805
DA,Bosque aleatorio,Iteración 2,Partición 3,División aleatoria,9051,3018,0.2,"[[2520, 0], [14, 484]]",0.9954,1.0000,0.9719,0.9857,0.3306,0.9882
DA,Bosque aleatorio,Iteración 2,Partición 4,División aleatoria,9051,3018,0.2,"[[2526, 1], [14, 477]]",0.9950,0.9979,0.9715,0.9845,0.3352,0.9872
DAE,Bosque aleatorio,Iteración 2,Partición 1,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [17, 486]]",0.9944,1.0000,0.9662,0.9828,0.3173,0.9858
DAE,Bosque aleatorio,Iteración 2,Partición 2,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [12, 491]]",0.9960,1.0000,0.9761,0.9879,0.3189,0.9900
DAE,Bosque aleatorio,Iteración 2,Partición 3,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [28, 475]]",0.9907,1.0000,0.9443,0.9714,0.3112,0.9766
DAE,Bosque aleatorio,Iteración 2,Partición 4,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [13, 490]]",0.9957,1.0000,0.9742,0.9869,0.3013,0.9892
KP,Bosque aleatorio,Iteración 3,Partición 1,K pliegues,9051,3018,0.2,"[[2529, 0], [15, 474]]",0.9950,1.0000,0.9693,0.9844,0.3047,0.9872
KP,Bosque aleatorio,Iteración 3,Partición 2,K pliegues,9052,3017,0.2,"[[2480, 0], [17, 520]]",0.9944,1.0000,0.9683,0.9839,0.3073,0.9867
KP,Bosque aleatorio,Iteración 3,Partición 3,K pliegues,9052,3017,0.2,"[[2506, 0], [18, 493]]",0.9940,1.0000,0.9648,0.9821,0.3014,0.9852
KP,Bosque aleatorio,Iteración 3,Partición 4,K pliegues,9052,3017,0.2,"[[2543, 0], [16, 458]]",0.9947,1.0000,0.9662,0.9828,0.3079,0.9859
